TIME,COUNTRY,TAX,CURRENCY,VALUE
2015S1,Belgium,Excluding taxes and levies,Euro,0.1817
2015S1,Belgium,Excluding taxes and levies,Purchasing Power Standard,0.1637
2015S1,Belgium,All taxes and levies included,Euro,0.2126
2015S1,Belgium,All taxes and levies included,Purchasing Power Standard,0.1916
2015S1,Bulgaria,Excluding taxes and levies,Euro,0.0785
2015S1,Bulgaria,Excluding taxes and levies,Purchasing Power Standard,0.1666
2015S1,Bulgaria,All taxes and levies included,Euro,0.0942
2015S1,Bulgaria,All taxes and levies included,Purchasing Power Standard,0.1998
2015S1,Czechia,Excluding taxes and levies,Euro,0.1134
2015S1,Czechia,Excluding taxes and levies,Purchasing Power Standard,0.1804
2015S1,Czechia,All taxes and levies included,Euro,0.1385
2015S1,Czechia,All taxes and levies included,Purchasing Power Standard,0.2203
2015S1,Denmark,Excluding taxes and levies,Euro,0.0935
2015S1,Denmark,Excluding taxes and levies,Purchasing Power Standard,0.0718
2015S1,Denmark,All taxes and levies included,Euro,0.3068
2015S1,Denmark,All taxes and levies included,Purchasing Power Standard,0.2357
2015S1,Germany (until 1990 former territory of the FRG),Excluding taxes and levies,Euro,0.1431
2015S1,Germany (until 1990 former territory of the FRG),Excluding taxes and levies,Purchasing Power Standard,0.1373
2015S1,Germany (until 1990 former territory of the FRG),All taxes and levies included,Euro,0.2951
2015S1,Germany (until 1990 former territory of the FRG),All taxes and levies included,Purchasing Power Standard,0.2832
2015S1,Estonia,Excluding taxes and levies,Euro,0.0951
2015S1,Estonia,Excluding taxes and levies,Purchasing Power Standard,0.1274
2015S1,Estonia,All taxes and levies included,Euro,0.1302
2015S1,Estonia,All taxes and levies included,Purchasing Power Standard,0.1744
2015S1,Ireland,Excluding taxes and levies,Euro,0.1970
2015S1,Ireland,Excluding taxes and levies,Purchasing Power Standard,0.1770
2015S1,Ireland,All taxes and levies included,Euro,0.2426
2015S1,Ireland,All taxes and levies included,Purchasing Power Standard,0.2180
2015S1,Greece,Excluding taxes and levies,Euro,0.1211
2015S1,Greece,Excluding taxes and levies,Purchasing Power Standard,0.1461
2015S1,Greece,All taxes and levies included,Euro,0.1767
2015S1,Greece,All taxes and levies included,Purchasing Power Standard,0.2131
2015S1,Spain,Excluding taxes and levies,Euro,0.1815
2015S1,Spain,Excluding taxes and levies,Purchasing Power Standard,0.2029
2015S1,Spain,All taxes and levies included,Euro,0.2309
2015S1,Spain,All taxes and levies included,Purchasing Power Standard,0.2581
2015S1,France,Excluding taxes and levies,Euro,0.1111
2015S1,France,Excluding taxes and levies,Purchasing Power Standard,0.1037
2015S1,France,All taxes and levies included,Euro,0.1676
2015S1,France,All taxes and levies included,Purchasing Power Standard,0.1564
2015S1,Croatia,Excluding taxes and levies,Euro,0.1008
2015S1,Croatia,Excluding taxes and levies,Purchasing Power Standard,0.1589
2015S1,Croatia,All taxes and levies included,Euro,0.1317
2015S1,Croatia,All taxes and levies included,Purchasing Power Standard,0.2076
2015S1,Italy,Excluding taxes and levies,Euro,0.1507
2015S1,Italy,Excluding taxes and levies,Purchasing Power Standard,0.1501
2015S1,Italy,All taxes and levies included,Euro,0.2450
2015S1,Italy,All taxes and levies included,Purchasing Power Standard,0.2441
2015S1,Cyprus,Excluding taxes and levies,Euro,0.1574
2015S1,Cyprus,Excluding taxes and levies,Purchasing Power Standard,0.1791
2015S1,Cyprus,All taxes and levies included,Euro,0.1957
2015S1,Cyprus,All taxes and levies included,Purchasing Power Standard,0.2226
2015S1,Latvia,Excluding taxes and levies,Euro,0.1083
2015S1,Latvia,Excluding taxes and levies,Purchasing Power Standard,0.1579
2015S1,Latvia,All taxes and levies included,Euro,0.1635
2015S1,Latvia,All taxes and levies included,Purchasing Power Standard,0.2384
2015S1,Lithuania,Excluding taxes and levies,Euro,0.0874
2015S1,Lithuania,Excluding taxes and levies,Purchasing Power Standard,0.1419
2015S1,Lithuania,All taxes and levies included,Euro,0.1256
2015S1,Lithuania,All taxes and levies included,Purchasing Power Standard,0.2039
2015S1,Luxembourg,Excluding taxes and levies,Euro,0.1331
2015S1,Luxembourg,Excluding taxes and levies,Purchasing Power Standard,0.1116
2015S1,Luxembourg,All taxes and levies included,Euro,0.1767
2015S1,Luxembourg,All taxes and levies included,Purchasing Power Standard,0.1482
2015S1,Hungary,Excluding taxes and levies,Euro,0.0887
2015S1,Hungary,Excluding taxes and levies,Purchasing Power Standard,0.1561
2015S1,Hungary,All taxes and levies included,Euro,0.1127
2015S1,Hungary,All taxes and levies included,Purchasing Power Standard,0.1983
2015S1,Malta,Excluding taxes and levies,Euro,0.1197
2015S1,Malta,Excluding taxes and levies,Purchasing Power Standard,0.1493
2015S1,Malta,All taxes and levies included,Euro,0.1257
2015S1,Malta,All taxes and levies included,Purchasing Power Standard,0.1567
2015S1,Netherlands,Excluding taxes and levies,Euro,0.1285
2015S1,Netherlands,Excluding taxes and levies,Purchasing Power Standard,0.1184
2015S1,Netherlands,All taxes and levies included,Euro,0.1986
2015S1,Netherlands,All taxes and levies included,Purchasing Power Standard,0.1831
2015S1,Austria,Excluding taxes and levies,Euro,0.1261
2015S1,Austria,Excluding taxes and levies,Purchasing Power Standard,0.1141
2015S1,Austria,All taxes and levies included,Euro,0.2009
2015S1,Austria,All taxes and levies included,Purchasing Power Standard,0.1818
2015S1,Poland,Excluding taxes and levies,Euro,0.1125
2015S1,Poland,Excluding taxes and levies,Purchasing Power Standard,0.1924
2015S1,Poland,All taxes and levies included,Euro,0.1444
2015S1,Poland,All taxes and levies included,Purchasing Power Standard,0.2469
2015S1,Portugal,Excluding taxes and levies,Euro,0.1150
2015S1,Portugal,Excluding taxes and levies,Purchasing Power Standard,0.1478
2015S1,Portugal,All taxes and levies included,Euro,0.2279
2015S1,Portugal,All taxes and levies included,Purchasing Power Standard,0.2930
2015S1,Romania,Excluding taxes and levies,Euro,0.0927
2015S1,Romania,Excluding taxes and levies,Purchasing Power Standard,0.1804
2015S1,Romania,All taxes and levies included,Euro,0.1303
2015S1,Romania,All taxes and levies included,Purchasing Power Standard,0.2536
2015S1,Slovenia,Excluding taxes and levies,Euro,0.1123
2015S1,Slovenia,Excluding taxes and levies,Purchasing Power Standard,0.1405
2015S1,Slovenia,All taxes and levies included,Euro,0.1589
2015S1,Slovenia,All taxes and levies included,Purchasing Power Standard,0.1988
2015S1,Slovakia,Excluding taxes and levies,Euro,0.1223
2015S1,Slovakia,Excluding taxes and levies,Purchasing Power Standard,0.1836
2015S1,Slovakia,All taxes and levies included,Euro,0.1506
2015S1,Slovakia,All taxes and levies included,Purchasing Power Standard,0.2260
2015S1,Finland,Excluding taxes and levies,Euro,0.1026
2015S1,Finland,Excluding taxes and levies,Purchasing Power Standard,0.0825
2015S1,Finland,All taxes and levies included,Euro,0.1552
2015S1,Finland,All taxes and levies included,Purchasing Power Standard,0.1248
2015S1,Sweden,Excluding taxes and levies,Euro,0.1183
