TIME,COUNTRY,VALUE
2015M01,Belgium,99.8
2015M01,Bulgaria,106.9
2015M01,Czechia,101.0
2015M01,Denmark,104.4
2015M01,Germany (until 1990 former territory of the FRG),102.8
2015M01,Estonia,101.2
2015M01,Ireland,107.6
2015M01,Greece,97.7
2015M01,Spain,102.8
2015M01,France,92.9
2015M01,Croatia,98.6
2015M01,Italy,93.6
2015M01,Cyprus,99.7
2015M01,Latvia,99.0
2015M01,Lithuania,101.7
2015M01,Luxembourg,0
2015M01,Hungary,109.4
2015M01,Malta,106.2
2015M01,Netherlands,96.4
2015M01,Austria,90.5
2015M01,Poland,102.6
2015M01,Portugal,106.8
2015M01,Romania,104.2
2015M01,Slovenia,97.5
2015M01,Slovakia,105.7
2015M01,Finland,90.2
2015M01,Sweden,105.4
2015M01,United Kingdom,115.7
2015M01,Montenegro,100.8
2015M01,North Macedonia,104.7
2015M01,Albania,0
2015M01,Serbia,95.7
2015M01,Turkey,105.6
2015M02,Belgium,95.7
2015M02,Bulgaria,104.6
2015M02,Czechia,99.8
2015M02,Denmark,103.1
2015M02,Germany (until 1990 former territory of the FRG),102.9
2015M02,Estonia,97.8
2015M02,Ireland,106.2
2015M02,Greece,98.4
2015M02,Spain,105.3
2015M02,France,94.9
2015M02,Croatia,100.2
2015M02,Italy,97.6
2015M02,Cyprus,102.8
2015M02,Latvia,98.6
2015M02,Lithuania,101.9
2015M02,Luxembourg,0
2015M02,Hungary,106.5
2015M02,Malta,107.8
2015M02,Netherlands,96.8
2015M02,Austria,98.4
2015M02,Poland,101.7
2015M02,Portugal,106.1
2015M02,Romania,105.4
2015M02,Slovenia,97.9
2015M02,Slovakia,104.1
2015M02,Finland,90.9
2015M02,Sweden,105.1
2015M02,United Kingdom,108.7
2015M02,Montenegro,97.3
2015M02,North Macedonia,106.6
2015M02,Albania,0
2015M02,Serbia,95.4
2015M02,Turkey,104.2
2015M03,Belgium,98.3
2015M03,Bulgaria,101.8
2015M03,Czechia,99.9
2015M03,Denmark,102.8
2015M03,Germany (until 1990 former territory of the FRG),103.8
2015M03,Estonia,97.7
2015M03,Ireland,108.0
2015M03,Greece,97.3
2015M03,Spain,106.5
2015M03,France,95.5
2015M03,Croatia,100.8
2015M03,Italy,103.8
2015M03,Cyprus,102.6
2015M03,Latvia,98.7
2015M03,Lithuania,99.9
2015M03,Luxembourg,0
2015M03,Hungary,107.9
2015M03,Malta,103.7
2015M03,Netherlands,98.9
2015M03,Austria,91.7
2015M03,Poland,101.4
2015M03,Portugal,104.9
2015M03,Romania,111.2
2015M03,Slovenia,98.2
2015M03,Slovakia,103.7
2015M03,Finland,90.9
2015M03,Sweden,105.0
2015M03,United Kingdom,106.9
2015M03,Montenegro,93.4
2015M03,North Macedonia,107.1
2015M03,Albania,0
2015M03,Serbia,97.3
2015M03,Turkey,106.0
2015M04,Belgium,100.2
2015M04,Bulgaria,102.9
2015M04,Czechia,99.2
2015M04,Denmark,100.2
2015M04,Germany (until 1990 former territory of the FRG),104.5
2015M04,Estonia,96.8
2015M04,Ireland,107.4
2015M04,Greece,96.7
2015M04,Spain,104.4
2015M04,France,93.7
2015M04,Croatia,103.7
2015M04,Italy,102.2
2015M04,Cyprus,105.4
2015M04,Latvia,99.5
2015M04,Lithuania,100.1
2015M04,Luxembourg,0
2015M04,Hungary,110.7
2015M04,Malta,108.0
2015M04,Netherlands,97.5
2015M04,Austria,94.1
2015M04,Poland,101.6
2015M04,Portugal,107.0
2015M04,Romania,107.3
2015M04,Slovenia,101.2
2015M04,Slovakia,101.9
2015M04,Finland,87.0
2015M04,Sweden,103.7
2015M04,United Kingdom,110.5
2015M04,Montenegro,99.7
2015M04,North Macedonia,103.3
2015M04,Albania,0
2015M04,Serbia,96.8
2015M04,Turkey,105.0
2015M05,Belgium,100.8
2015M05,Bulgaria,102.9
2015M05,Czechia,98.3
2015M05,Denmark,102.3
2015M05,Germany (until 1990 former territory of the FRG),104.9
2015M05,Estonia,95.3
2015M05,Ireland,108.7
2015M05,Greece,93.2
2015M05,Spain,106.8
2015M05,France,97.4
2015M05,Croatia,103.9
2015M05,Italy,99.4
2015M05,Cyprus,99.6
2015M05,Latvia,99.3
2015M05,Lithuania,100.5
2015M05,Luxembourg,0
2015M05,Hungary,109.7
2015M05,Malta,108.8
2015M05,Netherlands,99.4
2015M05,Austria,97.9
2015M05,Poland,100.4
2015M05,Portugal,108.6
2015M05,Romania,114.3
2015M05,Slovenia,103.4
2015M05,Slovakia,107.6
2015M05,Finland,89.9
2015M05,Sweden,102.7
2015M05,United Kingdom,110.8
2015M05,Montenegro,99.5
2015M05,North Macedonia,105.1
2015M05,Albania,0
2015M05,Serbia,98.7
2015M05,Turkey,109.3
2015M06,Belgium,100.3
2015M06,Bulgaria,108.0
2015M06,Czechia,103.1
2015M06,Denmark,105.1
2015M06,Germany (until 1990 former territory of the FRG),106.3
2015M06,Estonia,96.6
2015M06,Ireland,108.2
2015M06,Greece,93.3
2015M06,Spain,100.6
2015M06,France,97.7
2015M06,Croatia,101.5
2015M06,Italy,105.0
2015M06,Cyprus,101.2
2015M06,Latvia,98.7
2015M06,Lithuania,99.0
2015M06,Luxembourg,0
2015M06,Hungary,108.6
2015M06,Malta,103.7
2015M06,Netherlands,98.3
2015M06,Austria,92.0
2015M06,Poland,100.4
2015M06,Portugal,106.3
2015M06,Romania,108.8
2015M06,Slovenia,101.4
2015M06,Slovakia,108.0
2015M06,Finland,88.5
2015M06,Sweden,102.5
2015M06,United Kingdom,107.9
2015M06,Montenegro,108.5
2015M06,North Macedonia,103.3
2015M06,Albania,0
2015M06,Serbia,96.4
2015M06,Turkey,106.0
2015M07,Belgium,99.3
2015M07,Bulgaria,105.3
2015M07,Czechia,103.1
2015M07,Denmark,110.9
2015M07,Germany (until 1990 former territory of the FRG),106.3
2015M07,Estonia,99.6
2015M07,Ireland,108.5
2015M07,Greece,82.5
2015M07,Spain,102.6
2015M07,France,97.5
2015M07,Croatia,98.6
2015M07,Italy,104.7
2015M07,Cyprus,99.7
2015M07,Latvia,97.1
2015M07,Lithuania,100.7
2015M07,Luxembourg,0
2015M07,Hungary,108.6
