TIME,COUNTRY,CITIZEN,SEX,VALUE
2012,Belgium,EU27 countries (from 2020) except reporting country,Total,61.7
2012,Belgium,EU27 countries (from 2020) except reporting country,Males,66.5
2012,Belgium,EU27 countries (from 2020) except reporting country,Females,56.9
2012,Belgium,Reporting country,Total,63.0
2012,Belgium,Reporting country,Males,67.8
2012,Belgium,Reporting country,Females,58.1
2012,Bulgaria,EU27 countries (from 2020) except reporting country,Total,0
2012,Bulgaria,EU27 countries (from 2020) except reporting country,Males,0
2012,Bulgaria,EU27 countries (from 2020) except reporting country,Females,0
2012,Bulgaria,Reporting country,Total,58.8
2012,Bulgaria,Reporting country,Males,61.3
2012,Bulgaria,Reporting country,Females,56.3
2012,Czechia,EU27 countries (from 2020) except reporting country,Total,73.5
2012,Czechia,EU27 countries (from 2020) except reporting country,Males,88.5
2012,Czechia,EU27 countries (from 2020) except reporting country,Females,53.2
2012,Czechia,Reporting country,Total,66.4
2012,Czechia,Reporting country,Males,74.4
2012,Czechia,Reporting country,Females,58.3
2012,Denmark,EU27 countries (from 2020) except reporting country,Total,69.7
2012,Denmark,EU27 countries (from 2020) except reporting country,Males,75.5
2012,Denmark,EU27 countries (from 2020) except reporting country,Females,64.8
2012,Denmark,Reporting country,Total,72.0
2012,Denmark,Reporting country,Males,74.3
2012,Denmark,Reporting country,Females,69.7
2012,Germany (until 1990 former territory of the FRG),EU27 countries (from 2020) except reporting country,Total,71.7
2012,Germany (until 1990 former territory of the FRG),EU27 countries (from 2020) except reporting country,Males,79.3
2012,Germany (until 1990 former territory of the FRG),EU27 countries (from 2020) except reporting country,Females,63.9
2012,Germany (until 1990 former territory of the FRG),Reporting country,Total,74.2
2012,Germany (until 1990 former territory of the FRG),Reporting country,Males,78.5
2012,Germany (until 1990 former territory of the FRG),Reporting country,Females,69.9
2012,Estonia,EU27 countries (from 2020) except reporting country,Total,56.1
2012,Estonia,EU27 countries (from 2020) except reporting country,Males,0
2012,Estonia,EU27 countries (from 2020) except reporting country,Females,0
2012,Estonia,Reporting country,Total,67.9
2012,Estonia,Reporting country,Males,69.6
2012,Estonia,Reporting country,Females,66.2
2012,Ireland,EU27 countries (from 2020) except reporting country,Total,67.8
2012,Ireland,EU27 countries (from 2020) except reporting country,Males,72.7
2012,Ireland,EU27 countries (from 2020) except reporting country,Females,62.9
2012,Ireland,Reporting country,Total,59.8
2012,Ireland,Reporting country,Males,63.2
2012,Ireland,Reporting country,Females,56.4
2012,Greece,EU27 countries (from 2020) except reporting country,Total,54.0
2012,Greece,EU27 countries (from 2020) except reporting country,Males,61.2
2012,Greece,EU27 countries (from 2020) except reporting country,Females,49.4
2012,Greece,Reporting country,Total,51.0
2012,Greece,Reporting country,Males,60.3
2012,Greece,Reporting country,Females,41.8
2012,Spain,EU27 countries (from 2020) except reporting country,Total,55.5
2012,Spain,EU27 countries (from 2020) except reporting country,Males,58.7
2012,Spain,EU27 countries (from 2020) except reporting country,Females,52.7
2012,Spain,Reporting country,Total,56.5
2012,Spain,Reporting country,Males,61.3
2012,Spain,Reporting country,Females,51.6
2012,France,EU27 countries (from 2020) except reporting country,Total,66.0
2012,France,EU27 countries (from 2020) except reporting country,Males,71.4
2012,France,EU27 countries (from 2020) except reporting country,Females,60.0
2012,France,Reporting country,Total,64.8
2012,France,Reporting country,Males,68.4
2012,France,Reporting country,Females,61.4
2012,Croatia,EU27 countries (from 2020) except reporting country,Total,71.8
2012,Croatia,EU27 countries (from 2020) except reporting country,Males,89.1
2012,Croatia,EU27 countries (from 2020) except reporting country,Females,0
2012,Croatia,Reporting country,Total,53.5
2012,Croatia,Reporting country,Males,58.4
2012,Croatia,Reporting country,Females,48.6
2012,Italy,EU27 countries (from 2020) except reporting country,Total,65.8
2012,Italy,EU27 countries (from 2020) except reporting country,Males,74.2
2012,Italy,EU27 countries (from 2020) except reporting country,Females,60.2
2012,Italy,Reporting country,Total,56.3
2012,Italy,Reporting country,Males,65.9
2012,Italy,Reporting country,Females,46.6
2012,Cyprus,EU27 countries (from 2020) except reporting country,Total,70.9
2012,Cyprus,EU27 countries (from 2020) except reporting country,Males,75.9
2012,Cyprus,EU27 countries (from 2020) except reporting country,Females,65.8
2012,Cyprus,Reporting country,Total,63.3
2012,Cyprus,Reporting country,Males,70.4
2012,Cyprus,Reporting country,Females,56.5
2012,Latvia,EU27 countries (from 2020) except reporting country,Total,76.3
2012,Latvia,EU27 countries (from 2020) except reporting country,Males,0
2012,Latvia,EU27 countries (from 2020) except reporting country,Females,0
2012,Latvia,Reporting country,Total,64.0
2012,Latvia,Reporting country,Males,64.9
2012,Latvia,Reporting country,Females,63.1
2012,Lithuania,EU27 countries (from 2020) except reporting country,Total,0
2012,Lithuania,EU27 countries (from 2020) except reporting country,Males,0
2012,Lithuania,EU27 countries (from 2020) except reporting country,Females,0
2012,Lithuania,Reporting country,Total,62.0
2012,Lithuania,Reporting country,Males,62.2
2012,Lithuania,Reporting country,Females,61.8
2012,Luxembourg,EU27 countries (from 2020) except reporting country,Total,71.0
2012,Luxembourg,EU27 countries (from 2020) except reporting country,Males,77.0
2012,Luxembourg,EU27 countries (from 2020) except reporting country,Females,64.6
2012,Luxembourg,Reporting country,Total,62.6
2012,Luxembourg,Reporting country,Males,68.7
2012,Luxembourg,Reporting country,Females,56.4
2012,Hungary,EU27 countries (from 2020) except reporting country,Total,62.2
2012,Hungary,EU27 countries (from 2020) except reporting country,Males,79.9
2012,Hungary,EU27 countries (from 2020) except reporting country,Females,48.1
2012,Hungary,Reporting country,Total,56.6
2012,Hungary,Reporting country,Males,61.5
2012,Hungary,Reporting country,Females,51.9
2012,Malta,EU27 countries (from 2020) except reporting country,Total,76.3
2012,Malta,EU27 countries (from 2020) except reporting country,Males,93.5
2012,Malta,EU27 countries (from 2020) except reporting country,Females,0
2012,Malta,Reporting country,Total,58.9
2012,Malta,Reporting country,Males,73.1
2012,Malta,Reporting country,Females,44.4
2012,Netherlands,EU27 countries (from 2020) except reporting country,Total,74.4
2012,Netherlands,EU27 countries (from 2020) except reporting country,Males,79.1
2012,Netherlands,EU27 countries (from 2020) except reporting country,Females,70.9
2012,Netherlands,Reporting country,Total,75.0
2012,Netherlands,Reporting country,Males,79.7
2012,Netherlands,Reporting country,Females,70.2
2012,Austria,EU27 countries (from 2020) except reporting country,Total,71.1
2012,Austria,EU27 countries (from 2020) except reporting country,Males,77.2
2012,Austria,EU27 countries (from 2020) except reporting country,Females,65.9
2012,Austria,Reporting country,Total,72.6
2012,Austria,Reporting country,Males,76.8
2012,Austria,Reporting country,Females,68.3
2012,Poland,EU27 countries (from 2020) except reporting country,Total,74.1
2012,Poland,EU27 countries (from 2020) except reporting country,Males,84.4
2012,Poland,EU27 countries (from 2020) except reporting country,Females,0
2012,Poland,Reporting country,Total,59.7
2012,Poland,Reporting country,Males,66.3
2012,Poland,Reporting country,Females,53.1
2012,Portugal,EU27 countries (from 2020) except reporting country,Total,66.5
2012,Portugal,EU27 countries (from 2020) except reporting country,Males,72.6
2012,Portugal,EU27 countries (from 2020) except reporting country,Females,61.8
2012,Portugal,Reporting country,Total,61.5
2012,Portugal,Reporting country,Males,64.6
2012,Portugal,Reporting country,Females,58.5
2012,Romania,EU27 countries (from 2020) except reporting country,Total,0
2012,Romania,EU27 countries (from 2020) except reporting country,Males,0
2012,Romania,EU27 countries (from 2020) except reporting country,Females,0
2012,Romania,Reporting country,Total,60.2
2012,Romania,Reporting country,Males,67.6
2012,Romania,Reporting country,Females,52.8
2012,Slovenia,EU27 countries (from 2020) except reporting country,Total,72.7
2012,Slovenia,EU27 countries (from 2020) except reporting country,Males,86.3
2012,Slovenia,EU27 countries (from 2020) except reporting country,Females,59.6
2012,Slovenia,Reporting country,Total,64.1
2012,Slovenia,Reporting country,Males,66.9
2012,Slovenia,Reporting country,Females,61.1
2012,Slovakia,EU27 countries (from 2020) except reporting country,Total,70.4
2012,Slovakia,EU27 countries (from 2020) except reporting country,Males,0
2012,Slovakia,EU27 countries (from 2020) except reporting country,Females,0
2012,Slovakia,Reporting country,Total,59.7
2012,Slovakia,Reporting country,Males,66.7
2012,Slovakia,Reporting country,Females,52.7
2012,Finland,EU27 countries (from 2020) except reporting country,Total,73.5
2012,Finland,EU27 countries (from 2020) except reporting country,Males,77.3
2012,Finland,EU27 countries (from 2020) except reporting country,Females,69.6
2012,Finland,Reporting country,Total,69.7
2012,Finland,Reporting country,Males,70.7
2012,Finland,Reporting country,Females,68.6
2012,Sweden,EU27 countries (from 2020) except reporting country,Total,70.8
2012,Sweden,EU27 countries (from 2020) except reporting country,Males,75.6
2012,Sweden,EU27 countries (from 2020) except reporting country,Females,66.1
2012,Sweden,Reporting country,Total,75.1
2012,Sweden,Reporting country,Males,76.6
2012,Sweden,Reporting country,Females,73.5
2012,Iceland,EU27 countries (from 2020) except reporting country,Total,80.9
2012,Iceland,EU27 countries (from 2020) except reporting country,Males,83.5
2012,Iceland,EU27 countries (from 2020) except reporting country,Females,78.4
