TIME,COUNTRY,TAX,CURRENCY,VALUE
2015S1,Belgium,Excluding taxes and levies,Euro,0.0478
2015S1,Belgium,Excluding taxes and levies,Purchasing Power Standard,0.0430
2015S1,Belgium,All taxes and levies included,Euro,0.0584
2015S1,Belgium,All taxes and levies included,Purchasing Power Standard,0.0526
2015S1,Bulgaria,Excluding taxes and levies,Euro,0.0398
2015S1,Bulgaria,Excluding taxes and levies,Purchasing Power Standard,0.0843
2015S1,Bulgaria,All taxes and levies included,Euro,0.0477
2015S1,Bulgaria,All taxes and levies included,Purchasing Power Standard,0.1012
2015S1,Czechia,Excluding taxes and levies,Euro,0.0474
2015S1,Czechia,Excluding taxes and levies,Purchasing Power Standard,0.0739
2015S1,Czechia,All taxes and levies included,Euro,0.0574
2015S1,Czechia,All taxes and levies included,Purchasing Power Standard,0.0894
2015S1,Denmark,Excluding taxes and levies,Euro,0.0415
2015S1,Denmark,Excluding taxes and levies,Purchasing Power Standard,0.0319
2015S1,Denmark,All taxes and levies included,Euro,0.0920
2015S1,Denmark,All taxes and levies included,Purchasing Power Standard,0.0707
2015S1,Germany (until 1990 former territory of the FRG),Excluding taxes and levies,Euro,0.0509
2015S1,Germany (until 1990 former territory of the FRG),Excluding taxes and levies,Purchasing Power Standard,0.0488
2015S1,Germany (until 1990 former territory of the FRG),All taxes and levies included,Euro,0.0676
2015S1,Germany (until 1990 former territory of the FRG),All taxes and levies included,Purchasing Power Standard,0.0649
2015S1,Estonia,Excluding taxes and levies,Euro,0.0358
2015S1,Estonia,Excluding taxes and levies,Purchasing Power Standard,0.0480
2015S1,Estonia,All taxes and levies included,Euro,0.0456
2015S1,Estonia,All taxes and levies included,Purchasing Power Standard,0.0611
2015S1,Ireland,Excluding taxes and levies,Euro,0.0555
2015S1,Ireland,Excluding taxes and levies,Purchasing Power Standard,0.0498
2015S1,Ireland,All taxes and levies included,Euro,0.0673
2015S1,Ireland,All taxes and levies included,Purchasing Power Standard,0.0604
2015S1,Greece,Excluding taxes and levies,Euro,0.0545
2015S1,Greece,Excluding taxes and levies,Purchasing Power Standard,0.0657
2015S1,Greece,All taxes and levies included,Euro,0.0681
2015S1,Greece,All taxes and levies included,Purchasing Power Standard,0.0821
2015S1,Spain,Excluding taxes and levies,Euro,0.0581
2015S1,Spain,Excluding taxes and levies,Purchasing Power Standard,0.0650
2015S1,Spain,All taxes and levies included,Euro,0.0731
2015S1,Spain,All taxes and levies included,Purchasing Power Standard,0.0818
2015S1,France,Excluding taxes and levies,Euro,0.0560
2015S1,France,Excluding taxes and levies,Purchasing Power Standard,0.0511
2015S1,France,All taxes and levies included,Euro,0.0701
2015S1,France,All taxes and levies included,Purchasing Power Standard,0.0638
2015S1,Croatia,Excluding taxes and levies,Euro,0.0378
2015S1,Croatia,Excluding taxes and levies,Purchasing Power Standard,0.0596
2015S1,Croatia,All taxes and levies included,Euro,0.0473
2015S1,Croatia,All taxes and levies included,Purchasing Power Standard,0.0745
2015S1,Italy,Excluding taxes and levies,Euro,0.0504
2015S1,Italy,Excluding taxes and levies,Purchasing Power Standard,0.0502
2015S1,Italy,All taxes and levies included,Euro,0.0766
2015S1,Italy,All taxes and levies included,Purchasing Power Standard,0.0763
2015S1,Latvia,Excluding taxes and levies,Euro,0.0392
2015S1,Latvia,Excluding taxes and levies,Purchasing Power Standard,0.0572
2015S1,Latvia,All taxes and levies included,Euro,0.0496
2015S1,Latvia,All taxes and levies included,Purchasing Power Standard,0.0723
2015S1,Lithuania,Excluding taxes and levies,Euro,0.0350
2015S1,Lithuania,Excluding taxes and levies,Purchasing Power Standard,0.0567
2015S1,Lithuania,All taxes and levies included,Euro,0.0423
2015S1,Lithuania,All taxes and levies included,Purchasing Power Standard,0.0687
2015S1,Luxembourg,Excluding taxes and levies,Euro,0.0435
2015S1,Luxembourg,Excluding taxes and levies,Purchasing Power Standard,0.0365
2015S1,Luxembourg,All taxes and levies included,Euro,0.0496
2015S1,Luxembourg,All taxes and levies included,Purchasing Power Standard,0.0416
2015S1,Hungary,Excluding taxes and levies,Euro,0.0278
2015S1,Hungary,Excluding taxes and levies,Purchasing Power Standard,0.0489
2015S1,Hungary,All taxes and levies included,Euro,0.0353
2015S1,Hungary,All taxes and levies included,Purchasing Power Standard,0.0621
2015S1,Netherlands,Excluding taxes and levies,Euro,0.0422
2015S1,Netherlands,Excluding taxes and levies,Purchasing Power Standard,0.0389
2015S1,Netherlands,All taxes and levies included,Euro,0.0756
2015S1,Netherlands,All taxes and levies included,Purchasing Power Standard,0.0697
2015S1,Austria,Excluding taxes and levies,Euro,0.0539
2015S1,Austria,Excluding taxes and levies,Purchasing Power Standard,0.0488
2015S1,Austria,All taxes and levies included,Euro,0.0730
2015S1,Austria,All taxes and levies included,Purchasing Power Standard,0.0661
2015S1,Poland,Excluding taxes and levies,Euro,0.0407
2015S1,Poland,Excluding taxes and levies,Purchasing Power Standard,0.0696
2015S1,Poland,All taxes and levies included,Euro,0.0501
2015S1,Poland,All taxes and levies included,Purchasing Power Standard,0.0856
2015S1,Portugal,Excluding taxes and levies,Euro,0.0753
2015S1,Portugal,Excluding taxes and levies,Purchasing Power Standard,0.0969
2015S1,Portugal,All taxes and levies included,Euro,0.0976
2015S1,Portugal,All taxes and levies included,Purchasing Power Standard,0.1254
2015S1,Romania,Excluding taxes and levies,Euro,0.0150
2015S1,Romania,Excluding taxes and levies,Purchasing Power Standard,0.0292
2015S1,Romania,All taxes and levies included,Euro,0.0311
2015S1,Romania,All taxes and levies included,Purchasing Power Standard,0.0606
2015S1,Slovenia,Excluding taxes and levies,Euro,0.0452
2015S1,Slovenia,Excluding taxes and levies,Purchasing Power Standard,0.0565
2015S1,Slovenia,All taxes and levies included,Euro,0.0629
2015S1,Slovenia,All taxes and levies included,Purchasing Power Standard,0.0787
2015S1,Slovakia,Excluding taxes and levies,Euro,0.0413
2015S1,Slovakia,Excluding taxes and levies,Purchasing Power Standard,0.0620
2015S1,Slovakia,All taxes and levies included,Euro,0.0496
2015S1,Slovakia,All taxes and levies included,Purchasing Power Standard,0.0745
2015S1,Sweden,Excluding taxes and levies,Euro,0.0611
2015S1,Sweden,Excluding taxes and levies,Purchasing Power Standard,0.0482
2015S1,Sweden,All taxes and levies included,Euro,0.1131
2015S1,Sweden,All taxes and levies included,Purchasing Power Standard,0.0892
2015S1,Liechtenstein,Excluding taxes and levies,Euro,0.0743
2015S1,Liechtenstein,Excluding taxes and levies,Purchasing Power Standard,0
2015S1,Liechtenstein,All taxes and levies included,Euro,0.0913
2015S1,Liechtenstein,All taxes and levies included,Purchasing Power Standard,0
2015S1,United Kingdom,Excluding taxes and levies,Euro,0.0592
2015S1,United Kingdom,Excluding taxes and levies,Purchasing Power Standard,0.0470
2015S1,United Kingdom,All taxes and levies included,Euro,0.0635
2015S1,United Kingdom,All taxes and levies included,Purchasing Power Standard,0.0504
2015S1,North Macedonia,Excluding taxes and levies,Euro,0
2015S1,North Macedonia,Excluding taxes and levies,Purchasing Power Standard,0
2015S1,North Macedonia,All taxes and levies included,Euro,0
2015S1,North Macedonia,All taxes and levies included,Purchasing Power Standard,0
2015S1,Serbia,Excluding taxes and levies,Euro,0.0424
2015S1,Serbia,Excluding taxes and levies,Purchasing Power Standard,0.0902
2015S1,Serbia,All taxes and levies included,Euro,0.0466
2015S1,Serbia,All taxes and levies included,Purchasing Power Standard,0.0992
2015S1,Bosnia and Herzegovina,Excluding taxes and levies,Euro,0.0407
2015S1,Bosnia and Herzegovina,Excluding taxes and levies,Purchasing Power Standard,0.0842
2015S1,Bosnia and Herzegovina,All taxes and levies included,Euro,0.0514
2015S1,Bosnia and Herzegovina,All taxes and levies included,Purchasing Power Standard,0.1063
2015S1,Moldova,Excluding taxes and levies,Euro,0.0297
2015S1,Moldova,Excluding taxes and levies,Purchasing Power Standard,0
2015S1,Moldova,All taxes and levies included,Euro,0.0320
2015S1,Moldova,All taxes and levies included,Purchasing Power Standard,0
2015S1,Ukraine,Excluding taxes and levies,Euro,0
2015S1,Ukraine,Excluding taxes and levies,Purchasing Power Standard,0
2015S1,Ukraine,All taxes and levies included,Euro,0
2015S1,Ukraine,All taxes and levies included,Purchasing Power Standard,0
2015S1,Georgia,Excluding taxes and levies,Euro,0
2015S1,Georgia,Excluding taxes and levies,Purchasing Power Standard,0
2015S1,Georgia,All taxes and levies included,Euro,0
2015S1,Georgia,All taxes and levies included,Purchasing Power Standard,0
2015S2,Belgium,Excluding taxes and levies,Euro,0.0478
2015S2,Belgium,Excluding taxes and levies,Purchasing Power Standard,0.0433
2015S2,Belgium,All taxes and levies included,Euro,0.0621
2015S2,Belgium,All taxes and levies included,Purchasing Power Standard,0.0562
2015S2,Bulgaria,Excluding taxes and levies,Euro,0.0326
2015S2,Bulgaria,Excluding taxes and levies,Purchasing Power Standard,0.0705
2015S2,Bulgaria,All taxes and levies included,Euro,0.0391
2015S2,Bulgaria,All taxes and levies included,Purchasing Power Standard,0.0846
2015S2,Czechia,Excluding taxes and levies,Euro,0.0482
2015S2,Czechia,Excluding taxes and levies,Purchasing Power Standard,0.0748
2015S2,Czechia,All taxes and levies included,Euro,0.0583
2015S2,Czechia,All taxes and levies included,Purchasing Power Standard,0.0905
2015S2,Denmark,Excluding taxes and levies,Euro,0.0384
2015S2,Denmark,Excluding taxes and levies,Purchasing Power Standard,0.0296
2015S2,Denmark,All taxes and levies included,Euro,0.0881
2015S2,Denmark,All taxes and levies included,Purchasing Power Standard,0.0678
2015S2,Germany (until 1990 former territory of the FRG),Excluding taxes and levies,Euro,0.0513
2015S2,Germany (until 1990 former territory of the FRG),Excluding taxes and levies,Purchasing Power Standard,0.0492
2015S2,Germany (until 1990 former territory of the FRG),All taxes and levies included,Euro,0.0681
2015S2,Germany (until 1990 former territory of the FRG),All taxes and levies included,Purchasing Power Standard,0.0653
2015S2,Estonia,Excluding taxes and levies,Euro,0.0287
2015S2,Estonia,Excluding taxes and levies,Purchasing Power Standard,0.0396
2015S2,Estonia,All taxes and levies included,Euro,0.0384
2015S2,Estonia,All taxes and levies included,Purchasing Power Standard,0.0530
2015S2,Ireland,Excluding taxes and levies,Euro,0.0601
2015S2,Ireland,Excluding taxes and levies,Purchasing Power Standard,0.0539
2015S2,Ireland,All taxes and levies included,Euro,0.0724
2015S2,Ireland,All taxes and levies included,Purchasing Power Standard,0.0650
2015S2,Greece,Excluding taxes and levies,Euro,0.0605
2015S2,Greece,Excluding taxes and levies,Purchasing Power Standard,0.0741
2015S2,Greece,All taxes and levies included,Euro,0.0750
2015S2,Greece,All taxes and levies included,Purchasing Power Standard,0.0917
2015S2,Spain,Excluding taxes and levies,Euro,0.0767
2015S2,Spain,Excluding taxes and levies,Purchasing Power Standard,0.0867
2015S2,Spain,All taxes and levies included,Euro,0.0956
