TIME,COUNTRY,COFOG99,VALUE
2010,Belgium,Total,53.9
2010,Belgium,General public services,8.6
2010,Belgium,Defence,1.0
2010,Belgium,Public order and safety,1.9
2010,Belgium,Economic affairs,6.8
2010,Belgium,Fuel and energy,0.2
2010,Belgium,Transport,2.7
2010,Belgium,Environmental protection,1.2
2010,Belgium,Housing and community amenities,0.4
2010,Belgium,Health,7.8
2010,Belgium,Medical products appliances and equipment,0.9
2010,Belgium,Outpatient services,2.7
2010,Belgium,Hospital services,3.8
2010,Belgium,Recreation culture and religion,1.3
2010,Belgium,Recreational and sporting services,0.4
2010,Belgium,Cultural services,0.5
2010,Belgium,Education,6.0
2010,Belgium,Tertiary education,0.9
2010,Belgium,Social protection,18.9
2010,Belgium,Sickness and disability,2.7
2010,Belgium,Old age,8.0
2010,Belgium,Family and children,2.4
2010,Belgium,Unemployment,2.5
2010,Belgium,Housing,0.2
2010,Belgium,Social exclusion n.e.c.,1.0
2010,Bulgaria,Total,36.1
2010,Bulgaria,General public services,3.8
2010,Bulgaria,Defence,1.7
2010,Bulgaria,Public order and safety,2.5
2010,Bulgaria,Economic affairs,5.0
2010,Bulgaria,Fuel and energy,0.2
2010,Bulgaria,Transport,3.4
2010,Bulgaria,Environmental protection,0.7
2010,Bulgaria,Housing and community amenities,1.0
2010,Bulgaria,Health,4.4
2010,Bulgaria,Medical products appliances and equipment,0.5
2010,Bulgaria,Outpatient services,1.1
2010,Bulgaria,Hospital services,2.7
2010,Bulgaria,Recreation culture and religion,0.7
2010,Bulgaria,Recreational and sporting services,0.1
2010,Bulgaria,Cultural services,0.4
2010,Bulgaria,Education,3.6
2010,Bulgaria,Tertiary education,0.8
2010,Bulgaria,Social protection,12.9
2010,Bulgaria,Sickness and disability,0.2
2010,Bulgaria,Old age,9.7
2010,Bulgaria,Family and children,2.0
2010,Bulgaria,Unemployment,0.5
2010,Bulgaria,Housing,0.2
2010,Bulgaria,Social exclusion n.e.c.,0.0
2010,Czechia,Total,43.6
2010,Czechia,General public services,4.8
2010,Czechia,Defence,1.0
2010,Czechia,Public order and safety,1.9
2010,Czechia,Economic affairs,6.7
2010,Czechia,Fuel and energy,0.3
2010,Czechia,Transport,4.5
2010,Czechia,Environmental protection,1.0
2010,Czechia,Housing and community amenities,0.9
2010,Czechia,Health,7.7
2010,Czechia,Medical products appliances and equipment,1.0
2010,Czechia,Outpatient services,1.6
2010,Czechia,Hospital services,3.4
2010,Czechia,Recreation culture and religion,1.5
2010,Czechia,Recreational and sporting services,0.4
2010,Czechia,Cultural services,0.7
2010,Czechia,Education,4.6
2010,Czechia,Tertiary education,0.8
2010,Czechia,Social protection,13.5
2010,Czechia,Sickness and disability,2.4
2010,Czechia,Old age,7.5
2010,Czechia,Family and children,1.9
2010,Czechia,Unemployment,0.4
2010,Czechia,Housing,0.1
2010,Czechia,Social exclusion n.e.c.,0.4
2010,Denmark,Total,56.7
2010,Denmark,General public services,8.0
2010,Denmark,Defence,1.3
2010,Denmark,Public order and safety,1.0
2010,Denmark,Economic affairs,3.4
2010,Denmark,Fuel and energy,0.2
2010,Denmark,Transport,2.1
2010,Denmark,Environmental protection,0.4
2010,Denmark,Housing and community amenities,0.3
2010,Denmark,Health,8.6
2010,Denmark,Medical products appliances and equipment,0.8
2010,Denmark,Outpatient services,1.2
2010,Denmark,Hospital services,6.0
2010,Denmark,Recreation culture and religion,1.8
2010,Denmark,Recreational and sporting services,0.4
2010,Denmark,Cultural services,0.7
2010,Denmark,Education,7.1
2010,Denmark,Tertiary education,1.4
2010,Denmark,Social protection,24.8
2010,Denmark,Sickness and disability,5.4
2010,Denmark,Old age,7.6
2010,Denmark,Family and children,5.3
2010,Denmark,Unemployment,3.5
2010,Denmark,Housing,0.7
2010,Denmark,Social exclusion n.e.c.,1.7
2010,Germany (until 1990 former territory of the FRG),Total,48.1
2010,Germany (until 1990 former territory of the FRG),General public services,6.8
2010,Germany (until 1990 former territory of the FRG),Defence,1.0
2010,Germany (until 1990 former territory of the FRG),Public order and safety,1.6
2010,Germany (until 1990 former territory of the FRG),Economic affairs,5.1
2010,Germany (until 1990 former territory of the FRG),Fuel and energy,0.1
2010,Germany (until 1990 former territory of the FRG),Transport,1.6
2010,Germany (until 1990 former territory of the FRG),Environmental protection,0.6
2010,Germany (until 1990 former territory of the FRG),Housing and community amenities,0.6
2010,Germany (until 1990 former territory of the FRG),Health,7.0
2010,Germany (until 1990 former territory of the FRG),Medical products appliances and equipment,1.6
2010,Germany (until 1990 former territory of the FRG),Outpatient services,2.0
2010,Germany (until 1990 former territory of the FRG),Hospital services,2.8
2010,Germany (until 1990 former territory of the FRG),Recreation culture and religion,1.1
2010,Germany (until 1990 former territory of the FRG),Recreational and sporting services,0.3
2010,Germany (until 1990 former territory of the FRG),Cultural services,0.4
2010,Germany (until 1990 former territory of the FRG),Education,4.4
2010,Germany (until 1990 former territory of the FRG),Tertiary education,0.9
2010,Germany (until 1990 former territory of the FRG),Social protection,20.1
2010,Germany (until 1990 former territory of the FRG),Sickness and disability,2.9
