DATAFLOW,LAST UPDATE,freq,sectperf,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:SDG_09_10(1.0),15/03/22 11:00:00,Annual,Business enterprise sector,Percentage of gross domestic product (GDP),Austria,2002,1.38,
ESTAT:SDG_09_10(1.0),15/03/22 11:00:00,Annual,Business enterprise sector,Percentage of gross domestic product (GDP),Austria,2004,1.47,
ESTAT:SDG_09_10(1.0),15/03/22 11:00:00,Annual,Business enterprise sector,Percentage of gross domestic product (GDP),Austria,2005,1.66,e
ESTAT:SDG_09_10(1.0),15/03/22 11:00:00,Annual,Business enterprise sector,Percentage of gross domestic product (GDP),Austria,2006,1.66,
ESTAT:SDG_09_10(1.0),15/03/22 11:00:00,Annual,Business enterprise sector,Percentage of gross domestic product (GDP),Austria,2007,1.71,
ESTAT:SDG_09_10(1.0),15/03/22 11:00:00,Annual,Business enterprise sector,Percentage of gross domestic product (GDP),Austria,2008,1.78,e
ESTAT:SDG_09_10(1.0),15/03/22 11:00:00,Annual,Business enterprise sector,Percentage of gross domestic product (GDP),Austria,2009,1.77,
ESTAT:SDG_09_10(1.0),15/03/22 11:00:00,Annual,Business enterprise sector,Percentage of gross domestic product (GDP),Austria,2010,1.87,e
ESTAT:SDG_09_10(1.0),15/03/22 11:00:00,Annual,Business enterprise sector,Percentage of gross domestic product (GDP),Austria,2011,1.84,
ESTAT:SDG_09_10(1.0),15/03/22 11:00:00,Annual,Business enterprise sector,Percentage of gross domestic product (GDP),Austria,2012,2.05,e
ESTAT:SDG_09_10(1.0),15/03/22 11:00:00,Annual,Business enterprise sector,Percentage of gross domestic product (GDP),Austria,2013,2.09,
ESTAT:SDG_09_10(1.0),15/03/22 11:00:00,Annual,Business enterprise sector,Percentage of gross domestic product (GDP),Austria,2014,2.2,e
ESTAT:SDG_09_10(1.0),15/03/22 11:00:00,Annual,Business enterprise sector,Percentage of gross domestic product (GDP),Austria,2015,2.18,
ESTAT:SDG_09_10(1.0),15/03/22 11:00:00,Annual,Business enterprise sector,Percentage of gross domestic product (GDP),Austria,2016,2.19,e
ESTAT:SDG_09_10(1.0),15/03/22 11:00:00,Annual,Business enterprise sector,Percentage of gross domestic product (GDP),Austria,2017,2.14,
ESTAT:SDG_09_10(1.0),15/03/22 11:00:00,Annual,Business enterprise sector,Percentage of gross domestic product (GDP),Austria,2018,2.16,e
ESTAT:SDG_09_10(1.0),15/03/22 11:00:00,Annual,Business enterprise sector,Percentage of gross domestic product (GDP),Austria,2019,2.2,
