SECT_PERF,COUNTRY,TIME,VALUE
Business enterprise sector,Austria,2002,1.38
Business enterprise sector,Austria,2004,1.47
Business enterprise sector,Austria,2005,1.66
Business enterprise sector,Austria,2006,1.66
Business enterprise sector,Austria,2007,1.71
Business enterprise sector,Austria,2008,1.78
Business enterprise sector,Austria,2009,1.77
Business enterprise sector,Austria,2010,1.87
Business enterprise sector,Austria,2011,1.84
Business enterprise sector,Austria,2012,2.05
Business enterprise sector,Austria,2013,2.09
Business enterprise sector,Austria,2014,2.2
Business enterprise sector,Austria,2015,2.18
Business enterprise sector,Austria,2016,2.19
Business enterprise sector,Austria,2017,2.14
Business enterprise sector,Austria,2018,2.16
Business enterprise sector,Austria,2019,2.2
Business enterprise sector,Austria,2020,2.22
Business enterprise sector,Bosnia and Herzegovina,2012,0.16
Business enterprise sector,Bosnia and Herzegovina,2013,0.19
Business enterprise sector,Bosnia and Herzegovina,2014,0.05
Business enterprise sector,Bosnia and Herzegovina,2019,0.07
Business enterprise sector,Belgium,2000,1.4
Business enterprise sector,Belgium,2001,1.48
Business enterprise sector,Belgium,2002,1.34
Business enterprise sector,Belgium,2003,1.28
Business enterprise sector,Belgium,2004,1.26
Business enterprise sector,Belgium,2005,1.22
Business enterprise sector,Belgium,2006,1.26
Business enterprise sector,Belgium,2007,1.29
Business enterprise sector,Belgium,2008,1.32
Business enterprise sector,Belgium,2009,1.32
Business enterprise sector,Belgium,2010,1.38
Business enterprise sector,Belgium,2011,1.49
Business enterprise sector,Belgium,2012,1.59
Business enterprise sector,Belgium,2013,1.62
Business enterprise sector,Belgium,2014,1.66
Business enterprise sector,Belgium,2015,1.7
Business enterprise sector,Belgium,2016,1.73
Business enterprise sector,Belgium,2017,1.87
Business enterprise sector,Belgium,2018,2.05
Business enterprise sector,Belgium,2019,2.33
Business enterprise sector,Belgium,2020,2.53
Business enterprise sector,Bulgaria,2000,0.11
Business enterprise sector,Bulgaria,2001,0.09
Business enterprise sector,Bulgaria,2002,0.09
Business enterprise sector,Bulgaria,2003,0.09
Business enterprise sector,Bulgaria,2004,0.11
Business enterprise sector,Bulgaria,2005,0.1
Business enterprise sector,Bulgaria,2006,0.11
Business enterprise sector,Bulgaria,2007,0.13
Business enterprise sector,Bulgaria,2008,0.14
Business enterprise sector,Bulgaria,2009,0.15
Business enterprise sector,Bulgaria,2010,0.28
Business enterprise sector,Bulgaria,2011,0.28
Business enterprise sector,Bulgaria,2012,0.36
Business enterprise sector,Bulgaria,2013,0.39
Business enterprise sector,Bulgaria,2014,0.52
Business enterprise sector,Bulgaria,2015,0.7
Business enterprise sector,Bulgaria,2016,0.56
Business enterprise sector,Bulgaria,2017,0.52
Business enterprise sector,Bulgaria,2018,0.54
Business enterprise sector,Bulgaria,2019,0.56
Business enterprise sector,Bulgaria,2020,0.58
Business enterprise sector,Switzerland,2000,1.67
Business enterprise sector,Switzerland,2004,1.92
Business enterprise sector,Switzerland,2008,1.94
Business enterprise sector,Switzerland,2012,1.98
Business enterprise sector,Switzerland,2015,2.07
