COUNTRY,TIME,VALUE
Albania,2000,1700
Albania,2001,1850
Albania,2002,1940
Albania,2003,2060
Albania,2004,2180
Albania,2005,2310
Albania,2006,2460
Albania,2007,2630
Albania,2008,2850
Albania,2009,2960
Albania,2010,3090
Albania,2011,3180
Albania,2012,3230
Albania,2013,3260
Albania,2014,3330
Albania,2015,3410
Albania,2016,3530
Albania,2017,3670
Albania,2018,3830
Albania,2019,3920
Albania,2020,3810
Austria,2000,31710
Austria,2001,31990
Austria,2002,32360
Austria,2003,32520
Austria,2004,33200
Austria,2005,33710
Austria,2006,34700
Austria,2007,35870
Austria,2008,36280
Austria,2009,34830
Austria,2010,35390
Austria,2011,36300
Austria,2012,36390
Austria,2013,36180
Austria,2014,36130
Austria,2015,36140
Austria,2016,36390
Austria,2017,36980
Austria,2018,37720
Austria,2019,38110
Austria,2020,35390
Austria,2021,36820
Belgium,2000,29890
Belgium,2001,30110
Belgium,2002,30490
Belgium,2003,30680
Belgium,2004,31640
Belgium,2005,32200
Belgium,2006,32800
Belgium,2007,33760
Belgium,2008,33640
Belgium,2009,32700
Belgium,2010,33330
Belgium,2011,33460
Belgium,2012,33490
Belgium,2013,33490
Belgium,2014,33870
Belgium,2015,34360
Belgium,2016,34620
Belgium,2017,35050
Belgium,2018,35530
Belgium,2019,36080
Belgium,2020,33870
Belgium,2021,35850
Bulgaria,2000,2990
Bulgaria,2001,3210
Bulgaria,2002,3420
Bulgaria,2003,3620
Bulgaria,2004,3870
Bulgaria,2005,4170
Bulgaria,2006,4480
Bulgaria,2007,4800
Bulgaria,2008,5110
Bulgaria,2009,4970
Bulgaria,2010,5080
Bulgaria,2011,5320
Bulgaria,2012,5390
Bulgaria,2013,5390
Bulgaria,2014,5470
Bulgaria,2015,5700
Bulgaria,2016,5910
Bulgaria,2017,6120
Bulgaria,2018,6330
Bulgaria,2019,6630
Bulgaria,2020,6380
Bulgaria,2021,6690
Switzerland,2000,52080
Switzerland,2001,52640
Switzerland,2002,52260
Switzerland,2003,51860
Switzerland,2004,52970
Switzerland,2005,54180
Switzerland,2006,56000
Switzerland,2007,57720
Switzerland,2008,58620
Switzerland,2009,56750
Switzerland,2010,58170
Switzerland,2011,58730
Switzerland,2012,58820
Switzerland,2013,59200
Switzerland,2014,59920
Switzerland,2015,60220
Switzerland,2016,60780
Switzerland,2017,61170
Switzerland,2018,62500
Switzerland,2019,62800
