TIME,COUNTRY,VALUE
2015M01,Belgium,97.20
2015M01,Bulgaria,99.80
2015M01,Czechia,99.5
2015M01,Denmark,98.9
2015M01,Germany (until 1990 former territory of the FRG),98.1
2015M01,Estonia,98.78
2015M01,Ireland,98.7
2015M01,Greece,98.42
2015M01,Spain,98.04
2015M01,France,98.70
2015M01,Croatia,98.77
2015M01,Italy,98.0
2015M01,Cyprus,98.31
2015M01,Latvia,98.94
2015M01,Lithuania,98.96
2015M01,Luxembourg,97.69
2015M01,Hungary,98.56
2015M01,Malta,96.29
2015M01,Netherlands,97.82
2015M01,Austria,98.48
2015M01,Poland,99.7
2015M01,Portugal,98.09
2015M01,Romania,100.46
2015M01,Slovenia,99.08
2015M01,Slovakia,99.87
2015M01,Finland,99.49
2015M01,Sweden,98.71
2015M01,Iceland,98.02
2015M01,Norway,98.5
2015M01,Switzerland,100.28
2015M01,United Kingdom,99.3
2015M01,North Macedonia,99.41
2015M01,Serbia,98.1
2015M01,United States,98.57
2015M02,Belgium,99.56
2015M02,Bulgaria,99.86
2015M02,Czechia,99.6
2015M02,Denmark,99.7
2015M02,Germany (until 1990 former territory of the FRG),99.0
2015M02,Estonia,99.30
2015M02,Ireland,99.3
2015M02,Greece,98.21
2015M02,Spain,98.18
2015M02,France,99.42
2015M02,Croatia,98.88
2015M02,Italy,98.2
2015M02,Cyprus,98.83
2015M02,Latvia,99.30
2015M02,Lithuania,98.82
2015M02,Luxembourg,99.68
2015M02,Hungary,99.06
2015M02,Malta,96.75
2015M02,Netherlands,98.62
2015M02,Austria,98.75
2015M02,Poland,99.6
2015M02,Portugal,98.11
2015M02,Romania,100.84
2015M02,Slovenia,99.24
2015M02,Slovakia,99.68
2015M02,Finland,99.83
2015M02,Sweden,99.54
2015M02,Iceland,98.45
2015M02,Norway,98.9
2015M02,Switzerland,99.92
2015M02,United Kingdom,99.5
2015M02,North Macedonia,99.52
2015M02,Serbia,98.7
2015M02,United States,99.09
2015M03,Belgium,99.82
2015M03,Bulgaria,100.19
2015M03,Czechia,99.8
2015M03,Denmark,100.2
2015M03,Germany (until 1990 former territory of the FRG),99.7
2015M03,Estonia,99.95
2015M03,Ireland,100.0
2015M03,Greece,100.07
2015M03,Spain,100.15
2015M03,France,100.17
2015M03,Croatia,99.72
2015M03,Italy,100.3
2015M03,Cyprus,99.51
2015M03,Latvia,100.09
2015M03,Lithuania,99.63
2015M03,Luxembourg,100.11
2015M03,Hungary,99.70
2015M03,Malta,97.64
2015M03,Netherlands,99.88
2015M03,Austria,100.15
2015M03,Poland,99.9
2015M03,Portugal,100.01
2015M03,Romania,101.30
2015M03,Slovenia,100.10
2015M03,Slovakia,99.87
2015M03,Finland,100.20
2015M03,Sweden,99.66
2015M03,Iceland,99.58
2015M03,Norway,99.2
2015M03,Switzerland,100.39
2015M03,United Kingdom,99.7
2015M03,North Macedonia,99.93
2015M03,Serbia,99.4
2015M03,United States,99.81
2015M04,Belgium,100.11
2015M04,Bulgaria,100.66
2015M04,Czechia,100.2
2015M04,Denmark,100.4
2015M04,Germany (until 1990 former territory of the FRG),100.2
2015M04,Estonia,100.53
2015M04,Ireland,99.9
2015M04,Greece,100.50
2015M04,Spain,100.83
2015M04,France,100.30
2015M04,Croatia,100.11
2015M04,Italy,100.7
2015M04,Cyprus,99.85
2015M04,Latvia,100.65
2015M04,Lithuania,100.36
2015M04,Luxembourg,100.25
2015M04,Hungary,100.10
2015M04,Malta,100.36
2015M04,Netherlands,100.71
2015M04,Austria,100.28
2015M04,Poland,100.3
2015M04,Portugal,100.40
2015M04,Romania,101.51
2015M04,Slovenia,100.20
2015M04,Slovakia,100.13
2015M04,Finland,100.22
2015M04,Sweden,99.82
2015M04,Iceland,99.77
2015M04,Norway,99.6
2015M04,Switzerland,100.12
2015M04,United Kingdom,99.9
2015M04,North Macedonia,100.31
2015M04,Serbia,100.0
2015M04,United States,100.01
2015M05,Belgium,100.43
2015M05,Bulgaria,100.70
2015M05,Czechia,100.5
2015M05,Denmark,100.4
2015M05,Germany (until 1990 former territory of the FRG),100.6
2015M05,Estonia,100.89
2015M05,Ireland,100.4
2015M05,Greece,100.28
2015M05,Spain,101.27
2015M05,France,100.56
2015M05,Croatia,100.68
2015M05,Italy,100.9
2015M05,Cyprus,100.97
2015M05,Latvia,101.46
2015M05,Lithuania,100.95
2015M05,Luxembourg,100.80
2015M05,Hungary,100.81
2015M05,Malta,101.26
2015M05,Netherlands,100.97
2015M05,Austria,100.45
2015M05,Poland,100.4
2015M05,Portugal,100.93
2015M05,Romania,102.17
2015M05,Slovenia,100.87
2015M05,Slovakia,100.44
2015M05,Finland,100.11
2015M05,Sweden,100.26
2015M05,Iceland,100.13
2015M05,Norway,99.8
2015M05,Switzerland,100.20
2015M05,United Kingdom,100.1
2015M05,North Macedonia,100.76
2015M05,Serbia,100.1
2015M05,United States,100.61
2015M06,Belgium,100.60
2015M06,Bulgaria,100.15
2015M06,Czechia,100.7
2015M06,Denmark,100.3
2015M06,Germany (until 1990 former territory of the FRG),100.5
2015M06,Estonia,100.94
2015M06,Ireland,100.8
2015M06,Greece,101.15
2015M06,Spain,101.46
2015M06,France,100.49
2015M06,Croatia,100.97
2015M06,Italy,101.0
2015M06,Cyprus,101.32
2015M06,Latvia,101.35
2015M06,Lithuania,100.77
2015M06,Luxembourg,101.02
2015M06,Hungary,100.99
2015M06,Malta,102.30
2015M06,Netherlands,100.40
2015M06,Austria,100.40
2015M06,Poland,100.5
2015M06,Portugal,100.82
2015M06,Romania,99.59
2015M06,Slovenia,100.79
2015M06,Slovakia,100.55
2015M06,Finland,100.12
2015M06,Sweden,100.00
2015M06,Iceland,100.89
2015M06,Norway,100.1
2015M06,Switzerland,100.32
2015M06,United Kingdom,100.2
2015M06,North Macedonia,100.78
2015M06,Serbia,100.8
2015M06,United States,100.98
2015M07,Belgium,99.27
2015M07,Bulgaria,100.34
2015M07,Czechia,100.5
2015M07,Denmark,100.2
2015M07,Germany (until 1990 former territory of the FRG),100.9
2015M07,Estonia,100.61
2015M07,Ireland,100.5
2015M07,Greece,99.96
2015M07,Spain,99.90
2015M07,France,100.00
2015M07,Croatia,100.81
2015M07,Italy,99.1
2015M07,Cyprus,100.70
2015M07,Latvia,100.27
2015M07,Lithuania,100.27
2015M07,Luxembourg,99.74
2015M07,Hungary,100.97
2015M07,Malta,102.33
2015M07,Netherlands,101.07
2015M07,Austria,99.89
2015M07,Poland,100.4
2015M07,Portugal,100.15
2015M07,Romania,99.07
2015M07,Slovenia,100.07
2015M07,Slovakia,100.27
2015M07,Finland,99.82
2015M07,Sweden,100.13
2015M07,Iceland,101.76
2015M07,Norway,99.9
2015M07,Switzerland,100.13
2015M07,United Kingdom,100.0
2015M07,North Macedonia,100.09
2015M07,Serbia,100.0
2015M07,United States,100.90
2015M08,Belgium,100.58
2015M08,Bulgaria,100.41
2015M08,Czechia,100.2
2015M08,Denmark,99.9
2015M08,Germany (until 1990 former territory of the FRG),100.8
2015M08,Estonia,100.41
2015M08,Ireland,100.8
2015M08,Greece,99.75
2015M08,Spain,99.50
2015M08,France,100.36
2015M08,Croatia,101.02
2015M08,Italy,98.9
2015M08,Cyprus,101.37
2015M08,Latvia,99.84
2015M08,Lithuania,99.40
2015M08,Luxembourg,100.55
2015M08,Hungary,100.35
2015M08,Malta,102.68
2015M08,Netherlands,100.58
2015M08,Austria,99.73
2015M08,Poland,100.1
2015M08,Portugal,100.03
2015M08,Romania,98.45
2015M08,Slovenia,100.08
2015M08,Slovakia,100.06
2015M08,Finland,99.87
2015M08,Sweden,99.96
2015M08,Iceland,102.17
2015M08,Norway,99.7
2015M08,Switzerland,99.59
2015M08,United Kingdom,100.3
2015M08,North Macedonia,100.22
2015M08,Serbia,100.8
2015M08,United States,100.61
2015M09,Belgium,100.36
2015M09,Bulgaria,99.62
2015M09,Czechia,100.1
2015M09,Denmark,100.2
2015M09,Germany (until 1990 former territory of the FRG),100.5
2015M09,Estonia,99.82
2015M09,Ireland,100.3
2015M09,Greece,100.94
2015M09,Spain,99.90
2015M09,France,99.99
2015M09,Croatia,100.38
2015M09,Italy,100.6
2015M09,Cyprus,100.73
2015M09,Latvia,99.62
2015M09,Lithuania,100.01
2015M09,Luxembourg,100.27
2015M09,Hungary,99.76
2015M09,Malta,101.85
2015M09,Netherlands,100.40
2015M09,Austria,100.25
2015M09,Poland,99.8
2015M09,Portugal,100.78
2015M09,Romania,98.73
2015M09,Slovenia,99.95
2015M09,Slovakia,99.82
2015M09,Finland,100.02
2015M09,Sweden,100.45
2015M09,Iceland,100.31
2015M09,Norway,100.5
2015M09,Switzerland,99.93
2015M09,United Kingdom,100.2
2015M09,North Macedonia,100.05
2015M09,Serbia,100.8
2015M09,United States,100.29
2015M10,Belgium,100.62
2015M10,Bulgaria,99.46
2015M10,Czechia,100.0
2015M10,Denmark,100.1
2015M10,Germany (until 1990 former territory of the FRG),100.5
2015M10,Estonia,100.05
2015M10,Ireland,100.0
2015M10,Greece,100.75
2015M10,Spain,100.21
2015M10,France,100.07
2015M10,Croatia,100.13
