SEX,COUNTRY,NACE_R2,TIME,UNIT,VALUE
Total,Belgium,Industry construction and services (except activities of households as employers and extra-territorial organisations and bodies),2018,Euro,0
Total,Belgium,Industry construction and services (except activities of households as employers and extra-territorial organisations and bodies),2018,Purchasing power standard (PPS),0
Total,Belgium,Industry construction and services (except public administration defense compulsory social security),2018,Euro,4362
Total,Belgium,Industry construction and services (except public administration defense compulsory social security),2018,Purchasing power standard (PPS),3800
Total,Belgium,Business economy,2018,Euro,4644
Total,Belgium,Business economy,2018,Purchasing power standard (PPS),4046
Total,Belgium,Industry and construction,2018,Euro,4398
Total,Belgium,Industry and construction,2018,Purchasing power standard (PPS),3832
Total,Belgium,Industry (except construction),2018,Euro,4561
Total,Belgium,Industry (except construction),2018,Purchasing power standard (PPS),3974
Total,Belgium,Mining and quarrying,2018,Euro,4003
Total,Belgium,Mining and quarrying,2018,Purchasing power standard (PPS),3488
Total,Belgium,Manufacturing,2018,Euro,4474
Total,Belgium,Manufacturing,2018,Purchasing power standard (PPS),3898
Total,Belgium,Electricity gas steam and air conditioning supply,2018,Euro,5398
Total,Belgium,Electricity gas steam and air conditioning supply,2018,Purchasing power standard (PPS),4702
Total,Belgium,Water supply; sewerage waste management and remediation activities,2018,Euro,4938
Total,Belgium,Water supply; sewerage waste management and remediation activities,2018,Purchasing power standard (PPS),4302
Total,Belgium,Construction,2018,Euro,3846
Total,Belgium,Construction,2018,Purchasing power standard (PPS),3351
Total,Belgium,Services (except activities of households as employers and extra-territorial organisations and bodies),2018,Euro,0
Total,Belgium,Services (except activities of households as employers and extra-territorial organisations and bodies),2018,Purchasing power standard (PPS),0
Total,Belgium,Services (except public administration defense compulsory social security activities of households as employers and extra-territorial organisations and bodies),2018,Euro,4351
Total,Belgium,Services (except public administration defense compulsory social security activities of households as employers and extra-territorial organisations and bodies),2018,Purchasing power standard (PPS),3790
Total,Belgium,Wholesale and retail trade; transport; accommodation and food service activities; information and communication,2018,Euro,4618
Total,Belgium,Wholesale and retail trade; transport; accommodation and food service activities; information and communication,2018,Purchasing power standard (PPS),4023
Total,Belgium,Wholesale and retail trade; repair of motor vehicles and motorcycles,2018,Euro,4531
Total,Belgium,Wholesale and retail trade; repair of motor vehicles and motorcycles,2018,Purchasing power standard (PPS),3948
Total,Belgium,Transportation and storage,2018,Euro,4493
Total,Belgium,Transportation and storage,2018,Purchasing power standard (PPS),3914
Total,Belgium,Accommodation and food service activities,2018,Euro,3635
Total,Belgium,Accommodation and food service activities,2018,Purchasing power standard (PPS),3167
Total,Belgium,Information and communication,2018,Euro,4983
Total,Belgium,Information and communication,2018,Purchasing power standard (PPS),4341
Total,Belgium,Financial and insurance activities; real estate activities; Professional scientific and technical activities; administrative and support service activities,2018,Euro,5001
Total,Belgium,Financial and insurance activities; real estate activities; Professional scientific and technical activities; administrative and support service activities,2018,Purchasing power standard (PPS),4357
Total,Belgium,Financial and insurance activities,2018,Euro,5193
Total,Belgium,Financial and insurance activities,2018,Purchasing power standard (PPS),4524
Total,Belgium,Real estate activities,2018,Euro,4709
Total,Belgium,Real estate activities,2018,Purchasing power standard (PPS),4102
Total,Belgium,Professional scientific and technical activities,2018,Euro,5182
Total,Belgium,Professional scientific and technical activities,2018,Purchasing power standard (PPS),4514
Total,Belgium,Administrative and support service activities,2018,Euro,4446
Total,Belgium,Administrative and support service activities,2018,Purchasing power standard (PPS),3873
Total,Belgium,Public administration and defence; compulsory social security,2018,Euro,0
Total,Belgium,Public administration and defence; compulsory social security,2018,Purchasing power standard (PPS),0
Total,Belgium,Education,2018,Euro,3824
Total,Belgium,Education,2018,Purchasing power standard (PPS),3331
Total,Belgium,Human health and social work activities,2018,Euro,3949
Total,Belgium,Human health and social work activities,2018,Purchasing power standard (PPS),3440
Total,Belgium,Arts entertainment and recreation,2018,Euro,3428
Total,Belgium,Arts entertainment and recreation,2018,Purchasing power standard (PPS),2986
Total,Belgium,Other service activities,2018,Euro,4305
Total,Belgium,Other service activities,2018,Purchasing power standard (PPS),3750
Total,Bulgaria,Industry construction and services (except activities of households as employers and extra-territorial organisations and bodies),2018,Euro,852
Total,Bulgaria,Industry construction and services (except activities of households as employers and extra-territorial organisations and bodies),2018,Purchasing power standard (PPS),1637
Total,Bulgaria,Industry construction and services (except public administration defense compulsory social security),2018,Euro,872
Total,Bulgaria,Industry construction and services (except public administration defense compulsory social security),2018,Purchasing power standard (PPS),1677
Total,Bulgaria,Business economy,2018,Euro,986
Total,Bulgaria,Business economy,2018,Purchasing power standard (PPS),1896
Total,Bulgaria,Industry and construction,2018,Euro,824
Total,Bulgaria,Industry and construction,2018,Purchasing power standard (PPS),1584
Total,Bulgaria,Industry (except construction),2018,Euro,840
Total,Bulgaria,Industry (except construction),2018,Purchasing power standard (PPS),1615
Total,Bulgaria,Mining and quarrying,2018,Euro,1048
Total,Bulgaria,Mining and quarrying,2018,Purchasing power standard (PPS),2015
Total,Bulgaria,Manufacturing,2018,Euro,790
Total,Bulgaria,Manufacturing,2018,Purchasing power standard (PPS),1519
Total,Bulgaria,Electricity gas steam and air conditioning supply,2018,Euro,1219
Total,Bulgaria,Electricity gas steam and air conditioning supply,2018,Purchasing power standard (PPS),2344
Total,Bulgaria,Water supply; sewerage waste management and remediation activities,2018,Euro,688
Total,Bulgaria,Water supply; sewerage waste management and remediation activities,2018,Purchasing power standard (PPS),1322
Total,Bulgaria,Construction,2018,Euro,744
Total,Bulgaria,Construction,2018,Purchasing power standard (PPS),1431
Total,Bulgaria,Services (except activities of households as employers and extra-territorial organisations and bodies),2018,Euro,858
Total,Bulgaria,Services (except activities of households as employers and extra-territorial organisations and bodies),2018,Purchasing power standard (PPS),1650
Total,Bulgaria,Services (except public administration defense compulsory social security activities of households as employers and extra-territorial organisations and bodies),2018,Euro,885
Total,Bulgaria,Services (except public administration defense compulsory social security activities of households as employers and extra-territorial organisations and bodies),2018,Purchasing power standard (PPS),1702
Total,Bulgaria,Wholesale and retail trade; transport; accommodation and food service activities; information and communication,2018,Euro,1114
Total,Bulgaria,Wholesale and retail trade; transport; accommodation and food service activities; information and communication,2018,Purchasing power standard (PPS),2142
Total,Bulgaria,Wholesale and retail trade; repair of motor vehicles and motorcycles,2018,Euro,897
Total,Bulgaria,Wholesale and retail trade; repair of motor vehicles and motorcycles,2018,Purchasing power standard (PPS),1725
Total,Bulgaria,Transportation and storage,2018,Euro,924
Total,Bulgaria,Transportation and storage,2018,Purchasing power standard (PPS),1775
Total,Bulgaria,Accommodation and food service activities,2018,Euro,598
Total,Bulgaria,Accommodation and food service activities,2018,Purchasing power standard (PPS),1149
Total,Bulgaria,Information and communication,2018,Euro,1577
Total,Bulgaria,Information and communication,2018,Purchasing power standard (PPS),3031
Total,Bulgaria,Financial and insurance activities; real estate activities; Professional scientific and technical activities; administrative and support service activities,2018,Euro,966
Total,Bulgaria,Financial and insurance activities; real estate activities; Professional scientific and technical activities; administrative and support service activities,2018,Purchasing power standard (PPS),1856
Total,Bulgaria,Financial and insurance activities,2018,Euro,992
Total,Bulgaria,Financial and insurance activities,2018,Purchasing power standard (PPS),1908
Total,Bulgaria,Real estate activities,2018,Euro,776
Total,Bulgaria,Real estate activities,2018,Purchasing power standard (PPS),1491
Total,Bulgaria,Professional scientific and technical activities,2018,Euro,1057
Total,Bulgaria,Professional scientific and technical activities,2018,Purchasing power standard (PPS),2033
Total,Bulgaria,Administrative and support service activities,2018,Euro,826
Total,Bulgaria,Administrative and support service activities,2018,Purchasing power standard (PPS),1587
Total,Bulgaria,Public administration and defence; compulsory social security,2018,Euro,676
Total,Bulgaria,Public administration and defence; compulsory social security,2018,Purchasing power standard (PPS),1299
Total,Bulgaria,Education,2018,Euro,637
Total,Bulgaria,Education,2018,Purchasing power standard (PPS),1225
Total,Bulgaria,Human health and social work activities,2018,Euro,707
Total,Bulgaria,Human health and social work activities,2018,Purchasing power standard (PPS),1360
Total,Bulgaria,Arts entertainment and recreation,2018,Euro,566
Total,Bulgaria,Arts entertainment and recreation,2018,Purchasing power standard (PPS),1087
Total,Bulgaria,Other service activities,2018,Euro,553
Total,Bulgaria,Other service activities,2018,Purchasing power standard (PPS),1062
Total,Czechia,Industry construction and services (except activities of households as employers and extra-territorial organisations and bodies),2018,Euro,1785
Total,Czechia,Industry construction and services (except activities of households as employers and extra-territorial organisations and bodies),2018,Purchasing power standard (PPS),2431
Total,Czechia,Industry construction and services (except public administration defense compulsory social security),2018,Euro,1820
Total,Czechia,Industry construction and services (except public administration defense compulsory social security),2018,Purchasing power standard (PPS),2478
Total,Czechia,Business economy,2018,Euro,2012
Total,Czechia,Business economy,2018,Purchasing power standard (PPS),2741
Total,Czechia,Industry and construction,2018,Euro,1947
Total,Czechia,Industry and construction,2018,Purchasing power standard (PPS),2651
Total,Czechia,Industry (except construction),2018,Euro,1975
Total,Czechia,Industry (except construction),2018,Purchasing power standard (PPS),2691
Total,Czechia,Mining and quarrying,2018,Euro,2057
Total,Czechia,Mining and quarrying,2018,Purchasing power standard (PPS),2802
Total,Czechia,Manufacturing,2018,Euro,1973
Total,Czechia,Manufacturing,2018,Purchasing power standard (PPS),2687
Total,Czechia,Electricity gas steam and air conditioning supply,2018,Euro,2197
Total,Czechia,Electricity gas steam and air conditioning supply,2018,Purchasing power standard (PPS),2992
Total,Czechia,Water supply; sewerage waste management and remediation activities,2018,Euro,1618
Total,Czechia,Water supply; sewerage waste management and remediation activities,2018,Purchasing power standard (PPS),2204
Total,Czechia,Construction,2018,Euro,1754
Total,Czechia,Construction,2018,Purchasing power standard (PPS),2389
Total,Czechia,Services (except activities of households as employers and extra-territorial organisations and bodies),2018,Euro,1745
Total,Czechia,Services (except activities of households as employers and extra-territorial organisations and bodies),2018,Purchasing power standard (PPS),2377
Total,Czechia,Services (except public administration defense compulsory social security activities of households as employers and extra-territorial organisations and bodies),2018,Euro,1782
Total,Czechia,Services (except public administration defense compulsory social security activities of households as employers and extra-territorial organisations and bodies),2018,Purchasing power standard (PPS),2427
Total,Czechia,Wholesale and retail trade; transport; accommodation and food service activities; information and communication,2018,Euro,2118
Total,Czechia,Wholesale and retail trade; transport; accommodation and food service activities; information and communication,2018,Purchasing power standard (PPS),2885
Total,Czechia,Wholesale and retail trade; repair of motor vehicles and motorcycles,2018,Euro,1953
Total,Czechia,Wholesale and retail trade; repair of motor vehicles and motorcycles,2018,Purchasing power standard (PPS),2660
Total,Czechia,Transportation and storage,2018,Euro,1831
Total,Czechia,Transportation and storage,2018,Purchasing power standard (PPS),2494
Total,Czechia,Accommodation and food service activities,2018,Euro,1279
Total,Czechia,Accommodation and food service activities,2018,Purchasing power standard (PPS),1742
Total,Czechia,Information and communication,2018,Euro,2425
Total,Czechia,Information and communication,2018,Purchasing power standard (PPS),3303
Total,Czechia,Financial and insurance activities; real estate activities; Professional scientific and technical activities; administrative and support service activities,2018,Euro,1976
Total,Czechia,Financial and insurance activities; real estate activities; Professional scientific and technical activities; administrative and support service activities,2018,Purchasing power standard (PPS),2692
Total,Czechia,Financial and insurance activities,2018,Euro,2382
Total,Czechia,Financial and insurance activities,2018,Purchasing power standard (PPS),3245
Total,Czechia,Real estate activities,2018,Euro,1841
Total,Czechia,Real estate activities,2018,Purchasing power standard (PPS),2508
Total,Czechia,Professional scientific and technical activities,2018,Euro,1978
Total,Czechia,Professional scientific and technical activities,2018,Purchasing power standard (PPS),2694
Total,Czechia,Administrative and support service activities,2018,Euro,1323
Total,Czechia,Administrative and support service activities,2018,Purchasing power standard (PPS),1802
Total,Czechia,Public administration and defence; compulsory social security,2018,Euro,1583
Total,Czechia,Public administration and defence; compulsory social security,2018,Purchasing power standard (PPS),2156
Total,Czechia,Education,2018,Euro,1374
Total,Czechia,Education,2018,Purchasing power standard (PPS),1872
Total,Czechia,Human health and social work activities,2018,Euro,1883
Total,Czechia,Human health and social work activities,2018,Purchasing power standard (PPS),2565
Total,Czechia,Arts entertainment and recreation,2018,Euro,1289
Total,Czechia,Arts entertainment and recreation,2018,Purchasing power standard (PPS),1756
Total,Czechia,Other service activities,2018,Euro,1231
Total,Czechia,Other service activities,2018,Purchasing power standard (PPS),1677
Total,Denmark,Industry construction and services (except activities of households as employers and extra-territorial organisations and bodies),2018,Euro,5318
Total,Denmark,Industry construction and services (except activities of households as employers and extra-territorial organisations and bodies),2018,Purchasing power standard (PPS),3757
Total,Denmark,Industry construction and services (except public administration defense compulsory social security),2018,Euro,5307
Total,Denmark,Industry construction and services (except public administration defense compulsory social security),2018,Purchasing power standard (PPS),3749
Total,Denmark,Business economy,2018,Euro,5935
Total,Denmark,Business economy,2018,Purchasing power standard (PPS),4193
Total,Denmark,Industry and construction,2018,Euro,6525
Total,Denmark,Industry and construction,2018,Purchasing power standard (PPS),4610
Total,Denmark,Industry (except construction),2018,Euro,6621
Total,Denmark,Industry (except construction),2018,Purchasing power standard (PPS),4677
Total,Denmark,Mining and quarrying,2018,Euro,8944
Total,Denmark,Mining and quarrying,2018,Purchasing power standard (PPS),6319
Total,Denmark,Manufacturing,2018,Euro,6524
Total,Denmark,Manufacturing,2018,Purchasing power standard (PPS),4609
Total,Denmark,Electricity gas steam and air conditioning supply,2018,Euro,7004
Total,Denmark,Electricity gas steam and air conditioning supply,2018,Purchasing power standard (PPS),4948
Total,Denmark,Water supply; sewerage waste management and remediation activities,2018,Euro,5992
Total,Denmark,Water supply; sewerage waste management and remediation activities,2018,Purchasing power standard (PPS),4233
Total,Denmark,Construction,2018,Euro,6026
Total,Denmark,Construction,2018,Purchasing power standard (PPS),4257
Total,Denmark,Services (except activities of households as employers and extra-territorial organisations and bodies),2018,Euro,5174
Total,Denmark,Services (except activities of households as employers and extra-territorial organisations and bodies),2018,Purchasing power standard (PPS),3655
Total,Denmark,Services (except public administration defense compulsory social security activities of households as employers and extra-territorial organisations and bodies),2018,Euro,5148
Total,Denmark,Services (except public administration defense compulsory social security activities of households as employers and extra-territorial organisations and bodies),2018,Purchasing power standard (PPS),3637
Total,Denmark,Wholesale and retail trade; transport; accommodation and food service activities; information and communication,2018,Euro,5717
Total,Denmark,Wholesale and retail trade; transport; accommodation and food service activities; information and communication,2018,Purchasing power standard (PPS),4039
Total,Denmark,Wholesale and retail trade; repair of motor vehicles and motorcycles,2018,Euro,5530
Total,Denmark,Wholesale and retail trade; repair of motor vehicles and motorcycles,2018,Purchasing power standard (PPS),3907
Total,Denmark,Transportation and storage,2018,Euro,6562
Total,Denmark,Transportation and storage,2018,Purchasing power standard (PPS),4636
Total,Denmark,Accommodation and food service activities,2018,Euro,3483
Total,Denmark,Accommodation and food service activities,2018,Purchasing power standard (PPS),2461
Total,Denmark,Information and communication,2018,Euro,6354
Total,Denmark,Information and communication,2018,Purchasing power standard (PPS),4489
Total,Denmark,Financial and insurance activities; real estate activities; Professional scientific and technical activities; administrative and support service activities,2018,Euro,5781
Total,Denmark,Financial and insurance activities; real estate activities; Professional scientific and technical activities; administrative and support service activities,2018,Purchasing power standard (PPS),4084
Total,Denmark,Financial and insurance activities,2018,Euro,6939
Total,Denmark,Financial and insurance activities,2018,Purchasing power standard (PPS),4902
Total,Denmark,Real estate activities,2018,Euro,5555
Total,Denmark,Real estate activities,2018,Purchasing power standard (PPS),3925
Total,Denmark,Professional scientific and technical activities,2018,Euro,6385
Total,Denmark,Professional scientific and technical activities,2018,Purchasing power standard (PPS),4511
Total,Denmark,Administrative and support service activities,2018,Euro,4347
Total,Denmark,Administrative and support service activities,2018,Purchasing power standard (PPS),3071
Total,Denmark,Public administration and defence; compulsory social security,2018,Euro,5449
Total,Denmark,Public administration and defence; compulsory social security,2018,Purchasing power standard (PPS),3850
Total,Denmark,Education,2018,Euro,4925
Total,Denmark,Education,2018,Purchasing power standard (PPS),3479
Total,Denmark,Human health and social work activities,2018,Euro,4548
Total,Denmark,Human health and social work activities,2018,Purchasing power standard (PPS),3213
Total,Denmark,Arts entertainment and recreation,2018,Euro,4455
Total,Denmark,Arts entertainment and recreation,2018,Purchasing power standard (PPS),3147
Total,Denmark,Other service activities,2018,Euro,5712
Total,Denmark,Other service activities,2018,Purchasing power standard (PPS),4035
Total,Germany (until 1990 former territory of the FRG),Industry construction and services (except activities of households as employers and extra-territorial organisations and bodies),2018,Euro,4942
Total,Germany (until 1990 former territory of the FRG),Industry construction and services (except activities of households as employers and extra-territorial organisations and bodies),2018,Purchasing power standard (PPS),4626
Total,Germany (until 1990 former territory of the FRG),Industry construction and services (except public administration defense compulsory social security),2018,Euro,5046
Total,Germany (until 1990 former territory of the FRG),Industry construction and services (except public administration defense compulsory social security),2018,Purchasing power standard (PPS),4724
Total,Germany (until 1990 former territory of the FRG),Business economy,2018,Euro,5232
Total,Germany (until 1990 former territory of the FRG),Business economy,2018,Purchasing power standard (PPS),4897
Total,Germany (until 1990 former territory of the FRG),Industry and construction,2018,Euro,5679
Total,Germany (until 1990 former territory of the FRG),Industry and construction,2018,Purchasing power standard (PPS),5316
Total,Germany (until 1990 former territory of the FRG),Industry (except construction),2018,Euro,5787
Total,Germany (until 1990 former territory of the FRG),Industry (except construction),2018,Purchasing power standard (PPS),5418
Total,Germany (until 1990 former territory of the FRG),Mining and quarrying,2018,Euro,6296
Total,Germany (until 1990 former territory of the FRG),Mining and quarrying,2018,Purchasing power standard (PPS),5894
Total,Germany (until 1990 former territory of the FRG),Manufacturing,2018,Euro,5787
Total,Germany (until 1990 former territory of the FRG),Manufacturing,2018,Purchasing power standard (PPS),5417
Total,Germany (until 1990 former territory of the FRG),Electricity gas steam and air conditioning supply,2018,Euro,6181
Total,Germany (until 1990 former territory of the FRG),Electricity gas steam and air conditioning supply,2018,Purchasing power standard (PPS),5786
Total,Germany (until 1990 former territory of the FRG),Water supply; sewerage waste management and remediation activities,2018,Euro,4851
Total,Germany (until 1990 former territory of the FRG),Water supply; sewerage waste management and remediation activities,2018,Purchasing power standard (PPS),4542
Total,Germany (until 1990 former territory of the FRG),Construction,2018,Euro,4516
Total,Germany (until 1990 former territory of the FRG),Construction,2018,Purchasing power standard (PPS),4227
Total,Germany (until 1990 former territory of the FRG),Services (except activities of households as employers and extra-territorial organisations and bodies),2018,Euro,4752
Total,Germany (until 1990 former territory of the FRG),Services (except activities of households as employers and extra-territorial organisations and bodies),2018,Purchasing power standard (PPS),4449
Total,Germany (until 1990 former territory of the FRG),Services (except public administration defense compulsory social security activities of households as employers and extra-territorial organisations and bodies),2018,Euro,4844
Total,Germany (until 1990 former territory of the FRG),Services (except public administration defense compulsory social security activities of households as employers and extra-territorial organisations and bodies),2018,Purchasing power standard (PPS),4534
Total,Germany (until 1990 former territory of the FRG),Wholesale and retail trade; transport; accommodation and food service activities; information and communication,2018,Euro,4795
Total,Germany (until 1990 former territory of the FRG),Wholesale and retail trade; transport; accommodation and food service activities; information and communication,2018,Purchasing power standard (PPS),4488
Total,Germany (until 1990 former territory of the FRG),Wholesale and retail trade; repair of motor vehicles and motorcycles,2018,Euro,4710
Total,Germany (until 1990 former territory of the FRG),Wholesale and retail trade; repair of motor vehicles and motorcycles,2018,Purchasing power standard (PPS),4410
Total,Germany (until 1990 former territory of the FRG),Transportation and storage,2018,Euro,4079
Total,Germany (until 1990 former territory of the FRG),Transportation and storage,2018,Purchasing power standard (PPS),3819
Total,Germany (until 1990 former territory of the FRG),Accommodation and food service activities,2018,Euro,2424
