SEX,GEO,SIZECLAS,Value
Total,Belgium,Industry construction and services (except activities of households as employers and extra-territorial organisations and bodies),0
Total,Belgium,Industry construction and services (except public administration defense compulsory social security),3360
Total,Belgium,Business economy,3459
Total,Belgium,Industry and construction,3650
Total,Belgium,Industry (except construction),3834
Total,Belgium,Mining and quarrying,3357
Total,Belgium,Manufacturing,3768
Total,Belgium,Electricity gas steam and air conditioning supply,5223
Total,Belgium,Water supply; sewerage waste management and remediation activities,4079
Total,Belgium,Construction,3228
Total,Belgium,Services (except activities of households as employers and extra-territorial organisations and bodies),0
Total,Belgium,Services (except public administration defense compulsory social security activities of households as employers and extra-territorial organisations and bodies),3288
Total,Belgium,Wholesale and retail trade; transport; accommodation and food service activities; information and communication,3266
Total,Belgium,Wholesale and retail trade; repair of motor vehicles and motorcycles,3244
Total,Belgium,Transportation and storage,3143
Total,Belgium,Accommodation and food service activities,2607
Total,Belgium,Information and communication,4371
Total,Belgium,Financial and insurance activities; real estate activities; professional scientific and technical activities; administrative and support service activities,3565
Total,Belgium,Financial and insurance activities,4496
Total,Belgium,Real estate activities,3680
Total,Belgium,Professional scientific and technical activities,4539
Total,Belgium,Administrative and support service activities,2803
Total,Belgium,Public administration and defence; compulsory social security; education; human health and social work activities; arts entertainment and recreation; other service activities,0
Total,Belgium,Public administration and defence; compulsory social security0
Total,Belgium,Education; human health and social work activities; arts entertainment and recreation; other service activities,3143
Total,Belgium,Education,3675
Total,Belgium,Human health and social work activities,2956
Total,Belgium,Arts entertainment and recreation,2823
Total,Belgium,Other service activities,3043
Total,Bulgaria,Industry construction and services (except activities of households as employers and extra-territorial organisations and bodies),607
Total,Bulgaria,Industry construction and services (except public administration defense compulsory social security),608
Total,Bulgaria,Business economy,616
Total,Bulgaria,Industry and construction,549
Total,Bulgaria,Industry (except construction),559
Total,Bulgaria,Mining and quarrying,851
Total,Bulgaria,Manufacturing,525
Total,Bulgaria,Electricity gas steam and air conditioning supply,1022
Total,Bulgaria,Water supply; sewerage waste management and remediation activities,464
Total,Bulgaria,Construction,502
Total,Bulgaria,Services (except activities of households as employers and extra-territorial organisations and bodies),639
Total,Bulgaria,Services (except public administration defense compulsory social security activities of households as employers and extra-territorial organisations and bodies),643
Total,Bulgaria,Wholesale and retail trade; transport; accommodation and food service activities; information and communication,679
Total,Bulgaria,Wholesale and retail trade; repair of motor vehicles and motorcycles,586
Total,Bulgaria,Transportation and storage,594
Total,Bulgaria,Accommodation and food service activities,391
Total,Bulgaria,Information and communication,1390
Total,Bulgaria,Financial and insurance activities; real estate activities; professional scientific and technical activities; administrative and support service activities,660
Total,Bulgaria,Financial and insurance activities,876
Total,Bulgaria,Real estate activities,542
Total,Bulgaria,Professional scientific and technical activities,926
Total,Bulgaria,Administrative and support service activities,460
Total,Bulgaria,Public administration and defence; compulsory social security; education; human health and social work activities; arts entertainment and recreation; other service activities,579
Total,Bulgaria,Public administration and defence; compulsory social security603
Total,Bulgaria,Education; human health and social work activities; arts entertainment and recreation; other service activities,572
Total,Bulgaria,Education,577
Total,Bulgaria,Human health and social work activities,593
Total,Bulgaria,Arts entertainment and recreation,515
Total,Bulgaria,Other service activities,461
Total,Czechia,Industry construction and services (except activities of households as employers and extra-territorial organisations and bodies),1235
Total,Czechia,Industry construction and services (except public administration defense compulsory social security),1225
Total,Czechia,Business economy,1230
Total,Czechia,Industry and construction,1219
Total,Czechia,Industry (except construction),1221
Total,Czechia,Mining and quarrying,1331
Total,Czechia,Manufacturing,1214
Total,Czechia,Electricity gas steam and air conditioning supply,1613
Total,Czechia,Water supply; sewerage waste management and remediation activities,1068
Total,Czechia,Construction,1198
Total,Czechia,Services (except activities of households as employers and extra-territorial organisations and bodies),1244
Total,Czechia,Services (except public administration defense compulsory social security activities of households as employers and extra-territorial organisations and bodies),1230
Total,Czechia,Wholesale and retail trade; transport; accommodation and food service activities; information and communication,1245
Total,Czechia,Wholesale and retail trade; repair of motor vehicles and motorcycles,1177
Total,Czechia,Transportation and storage,1154
Total,Czechia,Accommodation and food service activities,799
Total,Czechia,Information and communication,2057
Total,Czechia,Financial and insurance activities; real estate activities; professional scientific and technical activities; administrative and support service activities,1231
Total,Czechia,Financial and insurance activities,1843
Total,Czechia,Real estate activities,1149
Total,Czechia,Professional scientific and technical activities,1670
Total,Czechia,Administrative and support service activities,824
Total,Czechia,Public administration and defence; compulsory social security; education; human health and social work activities; arts entertainment and recreation; other service activities,1250
Total,Czechia,Public administration and defence; compulsory social security1345
Total,Czechia,Education; human health and social work activities; arts entertainment and recreation; other service activities,1207
Total,Czechia,Education,1169
Total,Czechia,Human health and social work activities,1302
Total,Czechia,Arts entertainment and recreation,1073
Total,Czechia,Other service activities,977
Total,Denmark,Industry construction and services (except activities of households as employers and extra-territorial organisations and bodies),4493
Total,Denmark,Industry construction and services (except public administration defense compulsory social security),4473
Total,Denmark,Business economy,4676
Total,Denmark,Industry and construction,5112
Total,Denmark,Industry (except construction),5266
Total,Denmark,Mining and quarrying,7666
Total,Denmark,Manufacturing,5182
Total,Denmark,Electricity gas steam and air conditioning supply,6342
Total,Denmark,Water supply; sewerage waste management and remediation activities,4845
Total,Denmark,Construction,4729
Total,Denmark,Services (except activities of households as employers and extra-territorial organisations and bodies),4379
Total,Denmark,Services (except public administration defense compulsory social security activities of households as employers and extra-territorial organisations and bodies),4347
Total,Denmark,Wholesale and retail trade; transport; accommodation and food service activities; information and communication,4259
Total,Denmark,Wholesale and retail trade; repair of motor vehicles and motorcycles,3849
Total,Denmark,Transportation and storage,5190
Total,Denmark,Accommodation and food service activities,3173
Total,Denmark,Information and communication,5941
Total,Denmark,Financial and insurance activities; real estate activities; professional scientific and technical activities; administrative and support service activities,4892
Total,Denmark,Financial and insurance activities,6382
Total,Denmark,Real estate activities,4515
Total,Denmark,Professional scientific and technical activities,5853
Total,Denmark,Administrative and support service activities,3956
Total,Denmark,Public administration and defence; compulsory social security; education; human health and social work activities; arts entertainment and recreation; other service activities,4233
Total,Denmark,Public administration and defence; compulsory social security4855
Total,Denmark,Education; human health and social work activities; arts entertainment and recreation; other service activities,4139
Total,Denmark,Education,4602
Total,Denmark,Human health and social work activities,3939
Total,Denmark,Arts entertainment and recreation,3726
Total,Denmark,Other service activities,5042
Total,Germany (until 1990 former territory of the FRG),Industry construction and services (except activities of households as employers and extra-territorial organisations and bodies),3370
Total,Germany (until 1990 former territory of the FRG),Industry construction and services (except public administration defense compulsory social security),3349
Total,Germany (until 1990 former territory of the FRG),Business economy,3337
Total,Germany (until 1990 former territory of the FRG),Industry and construction,3736
Total,Germany (until 1990 former territory of the FRG),Industry (except construction),3867
Total,Germany (until 1990 former territory of the FRG),Mining and quarrying,4020
Total,Germany (until 1990 former territory of the FRG),Manufacturing,3854
Total,Germany (until 1990 former territory of the FRG),Electricity gas steam and air conditioning supply,4910
Total,Germany (until 1990 former territory of the FRG),Water supply; sewerage waste management and remediation activities,3293
Total,Germany (until 1990 former territory of the FRG),Construction,2981
Total,Germany (until 1990 former territory of the FRG),Services (except activities of households as employers and extra-territorial organisations and bodies),3242
Total,Germany (until 1990 former territory of the FRG),Services (except public administration defense compulsory social security activities of households as employers and extra-territorial organisations and bodies),3198
Total,Germany (until 1990 former territory of the FRG),Wholesale and retail trade; transport; accommodation and food service activities; information and communication,2933
Total,Germany (until 1990 former territory of the FRG),Wholesale and retail trade; repair of motor vehicles and motorcycles,2894
Total,Germany (until 1990 former territory of the FRG),Transportation and storage,2765
Total,Germany (until 1990 former territory of the FRG),Accommodation and food service activities,1966
Total,Germany (until 1990 former territory of the FRG),Information and communication,4595
Total,Germany (until 1990 former territory of the FRG),Financial and insurance activities; real estate activities; professional scientific and technical activities; administrative and support service activities,3346
Total,Germany (until 1990 former territory of the FRG),Financial and insurance activities,4717
Total,Germany (until 1990 former territory of the FRG),Real estate activities,3523
Total,Germany (until 1990 former territory of the FRG),Professional scientific and technical activities,4165
Total,Germany (until 1990 former territory of the FRG),Administrative and support service activities,2343
