TIME,COUNTRY,AGE,VALUE
2008,Belgium,Total,17985
2008,Belgium,Less than 6 years,18439
2008,Belgium,From 6 to 11 years,18346
2008,Belgium,From 11 to 15 years,0
2008,Belgium,From 12 to 17 years,16680
2008,Belgium,Less than 16 years,18039
2008,Belgium,From 16 to 24 years,17104
2008,Belgium,From 16 to 64 years,19187
2008,Belgium,16 years or over,17984
2008,Belgium,Less than 18 years,17804
2008,Belgium,From 18 to 24 years,17356
2008,Belgium,From 18 to 64 years,19306
2008,Belgium,18 years or over,18049
2008,Belgium,From 25 to 49 years,20321
2008,Belgium,From 25 to 54 years,20230
2008,Belgium,From 50 to 64 years,18159
2008,Belgium,From 55 to 64 years,17642
2008,Belgium,Less than 60 years,19106
2008,Belgium,60 years or over,14415
2008,Belgium,Less than 65 years,18912
2008,Belgium,From 65 to 74 years,0
2008,Belgium,65 years or over,14027
2008,Belgium,Less than 75 years,18439
2008,Belgium,75 years or over,13479
2008,Bulgaria,Total,2171
2008,Bulgaria,Less than 6 years,2248
2008,Bulgaria,From 6 to 11 years,2180
2008,Bulgaria,From 11 to 15 years,0
2008,Bulgaria,From 12 to 17 years,1931
2008,Bulgaria,Less than 16 years,2110
2008,Bulgaria,From 16 to 24 years,2199
2008,Bulgaria,From 16 to 64 years,2417
2008,Bulgaria,16 years or over,2182
2008,Bulgaria,Less than 18 years,2082
2008,Bulgaria,From 18 to 24 years,2302
2008,Bulgaria,From 18 to 64 years,2438
2008,Bulgaria,18 years or over,2192
2008,Bulgaria,From 25 to 49 years,2489
2008,Bulgaria,From 25 to 54 years,2535
2008,Bulgaria,From 50 to 64 years,2380
2008,Bulgaria,From 55 to 64 years,2194
2008,Bulgaria,Less than 60 years,2384
2008,Bulgaria,60 years or over,1659
2008,Bulgaria,Less than 65 years,2355
2008,Bulgaria,From 65 to 74 years,0
2008,Bulgaria,65 years or over,1558
2008,Bulgaria,Less than 75 years,2265
2008,Bulgaria,75 years or over,1429
2008,Czechia,Total,6068
2008,Czechia,Less than 6 years,5981
2008,Czechia,From 6 to 11 years,5735
2008,Czechia,From 11 to 15 years,0
2008,Czechia,From 12 to 17 years,5384
2008,Czechia,Less than 16 years,5760
2008,Czechia,From 16 to 24 years,6002
2008,Czechia,From 16 to 64 years,6450
2008,Czechia,16 years or over,6140
2008,Czechia,Less than 18 years,5716
2008,Czechia,From 18 to 24 years,6211
2008,Czechia,From 18 to 64 years,6500
2008,Czechia,18 years or over,6167
2008,Czechia,From 25 to 49 years,6539
2008,Czechia,From 25 to 54 years,6630
2008,Czechia,From 50 to 64 years,6563
2008,Czechia,From 55 to 64 years,6351
2008,Czechia,Less than 60 years,6351
2008,Czechia,60 years or over,5167
2008,Czechia,Less than 65 years,6315
2008,Czechia,From 65 to 74 years,0
2008,Czechia,65 years or over,4971
2008,Czechia,Less than 75 years,6176
2008,Czechia,75 years or over,4840
2008,Denmark,Total,24161
2008,Denmark,Less than 6 years,24530
2008,Denmark,From 6 to 11 years,24884
2008,Denmark,From 11 to 15 years,0
2008,Denmark,From 12 to 17 years,24063
2008,Denmark,Less than 16 years,24537
2008,Denmark,From 16 to 24 years,20362
2008,Denmark,From 16 to 64 years,25659
2008,Denmark,16 years or over,24058
2008,Denmark,Less than 18 years,24509
2008,Denmark,From 18 to 24 years,18235
2008,Denmark,From 18 to 64 years,25732
2008,Denmark,18 years or over,24052
2008,Denmark,From 25 to 49 years,25841
2008,Denmark,From 25 to 54 years,26340
2008,Denmark,From 50 to 64 years,28421
2008,Denmark,From 55 to 64 years,27217
2008,Denmark,Less than 60 years,25475
2008,Denmark,60 years or over,19115
2008,Denmark,Less than 65 years,25354
2008,Denmark,From 65 to 74 years,0
2008,Denmark,65 years or over,17862
2008,Denmark,Less than 75 years,24753
2008,Denmark,75 years or over,17191
2008,Germany (until 1990 former territory of the FRG),Total,18309
2008,Germany (until 1990 former territory of the FRG),Less than 6 years,17131
2008,Germany (until 1990 former territory of the FRG),From 6 to 11 years,17239
2008,Germany (until 1990 former territory of the FRG),From 11 to 15 years,0
2008,Germany (until 1990 former territory of the FRG),From 12 to 17 years,17148
2008,Germany (until 1990 former territory of the FRG),Less than 16 years,17216
2008,Germany (until 1990 former territory of the FRG),From 16 to 24 years,17581
2008,Germany (until 1990 former territory of the FRG),From 16 to 64 years,19414
2008,Germany (until 1990 former territory of the FRG),16 years or over,18559
2008,Germany (until 1990 former territory of the FRG),Less than 18 years,17205
2008,Germany (until 1990 former territory of the FRG),From 18 to 24 years,17678
2008,Germany (until 1990 former territory of the FRG),From 18 to 64 years,19502
2008,Germany (until 1990 former territory of the FRG),18 years or over,18617
2008,Germany (until 1990 former territory of the FRG),From 25 to 49 years,19767
2008,Germany (until 1990 former territory of the FRG),From 25 to 54 years,19980
2008,Germany (until 1990 former territory of the FRG),From 50 to 64 years,19845
2008,Germany (until 1990 former territory of the FRG),From 55 to 64 years,19042
2008,Germany (until 1990 former territory of the FRG),Less than 60 years,18986
2008,Germany (until 1990 former territory of the FRG),60 years or over,16699
2008,Germany (until 1990 former territory of the FRG),Less than 65 years,18922
2008,Germany (until 1990 former territory of the FRG),From 65 to 74 years,0
2008,Germany (until 1990 former territory of the FRG),65 years or over,16498
2008,Germany (until 1990 former territory of the FRG),Less than 75 years,18390
2008,Germany (until 1990 former territory of the FRG),75 years or over,16635
2008,Estonia,Total,5547
2008,Estonia,Less than 6 years,5929
2008,Estonia,From 6 to 11 years,5492
2008,Estonia,From 11 to 15 years,0
2008,Estonia,From 12 to 17 years,5284
2008,Estonia,Less than 16 years,5650
2008,Estonia,From 16 to 24 years,5702
2008,Estonia,From 16 to 64 years,6026
2008,Estonia,16 years or over,5517
2008,Estonia,Less than 18 years,5597
2008,Estonia,From 18 to 24 years,5842
2008,Estonia,From 18 to 64 years,6085
2008,Estonia,18 years or over,5530
2008,Estonia,From 25 to 49 years,6422
2008,Estonia,From 25 to 54 years,6279
2008,Estonia,From 50 to 64 years,5724
2008,Estonia,From 55 to 64 years,5428
2008,Estonia,Less than 60 years,5978
2008,Estonia,60 years or over,3847
2008,Estonia,Less than 65 years,5957
2008,Estonia,From 65 to 74 years,0
2008,Estonia,65 years or over,3669
2008,Estonia,Less than 75 years,5772
2008,Estonia,75 years or over,3398
2008,Ireland,Total,22995
2008,Ireland,Less than 6 years,24388
2008,Ireland,From 6 to 11 years,21507
2008,Ireland,From 11 to 15 years,0
2008,Ireland,From 12 to 17 years,19708
2008,Ireland,Less than 16 years,21757
2008,Ireland,From 16 to 24 years,22374
2008,Ireland,From 16 to 64 years,24695
2008,Ireland,16 years or over,23438
2008,Ireland,Less than 18 years,21507
2008,Ireland,From 18 to 24 years,22896
2008,Ireland,From 18 to 64 years,24830
2008,Ireland,18 years or over,23590
2008,Ireland,From 25 to 49 years,25868
2008,Ireland,From 25 to 54 years,25791
2008,Ireland,From 50 to 64 years,23763
2008,Ireland,From 55 to 64 years,23516
2008,Ireland,Less than 60 years,23726
2008,Ireland,60 years or over,18572
2008,Ireland,Less than 65 years,23659
2008,Ireland,From 65 to 74 years,0
2008,Ireland,65 years or over,17477
2008,Ireland,Less than 75 years,23370
2008,Ireland,75 years or over,16938
2008,Greece,Total,10800
2008,Greece,Less than 6 years,11288
2008,Greece,From 6 to 11 years,10667
2008,Greece,From 11 to 15 years,0
2008,Greece,From 12 to 17 years,9976
2008,Greece,Less than 16 years,10639
2008,Greece,From 16 to 24 years,10000
2008,Greece,From 16 to 64 years,11512
2008,Greece,16 years or over,10880
2008,Greece,Less than 18 years,10524
2008,Greece,From 18 to 24 years,10024
2008,Greece,From 18 to 64 years,11550
2008,Greece,18 years or over,10980
2008,Greece,From 25 to 49 years,11810
2008,Greece,From 25 to 54 years,11920
2008,Greece,From 50 to 64 years,11695
2008,Greece,From 55 to 64 years,11352
2008,Greece,Less than 60 years,11391
2008,Greece,60 years or over,9968
2008,Greece,Less than 65 years,11353
2008,Greece,From 65 to 74 years,0
2008,Greece,65 years or over,9760
2008,Greece,Less than 75 years,11167
2008,Greece,75 years or over,9100
2008,Spain,Total,13966
2008,Spain,Less than 6 years,12770
2008,Spain,From 6 to 11 years,11868
2008,Spain,From 11 to 15 years,0
2008,Spain,From 12 to 17 years,11737
2008,Spain,Less than 16 years,12213
2008,Spain,From 16 to 24 years,13085
2008,Spain,From 16 to 64 years,14925
2008,Spain,16 years or over,14324
2008,Spain,Less than 18 years,12076
2008,Spain,From 18 to 24 years,13424
2008,Spain,From 18 to 64 years,15016
2008,Spain,18 years or over,14385
2008,Spain,From 25 to 49 years,14931
2008,Spain,From 25 to 54 years,15139
2008,Spain,From 50 to 64 years,16185
2008,Spain,From 55 to 64 years,16079
2008,Spain,Less than 60 years,14436
2008,Spain,60 years or over,12663
2008,Spain,Less than 65 years,14485
2008,Spain,From 65 to 74 years,0
