TIME,COUNTRY,ISCEDF13,VALUE
2013,Belgium,Total,48748
2013,Belgium,Education,1717
2013,Belgium,Arts and humanities,6710
2013,Belgium,Social sciences journalism and information,5140
2013,Belgium,Business administration and law,6136
2013,Belgium,Natural sciences mathematics and statistics,2662
2013,Belgium,Biology,0
2013,Belgium,Biochemistry,0
2013,Belgium,Environment,151
2013,Belgium,Physical sciences,867
2013,Belgium,Mathematics and statistics,411
2013,Belgium,Information and Communication Technologies,729
2013,Belgium,Engineering manufacturing and construction,5223
2013,Belgium,Engineering and engineering trades,1506
2013,Belgium,Manufacturing and processing,92
2013,Belgium,Architecture and construction,2133
2013,Belgium,Agriculture forestry fisheries and veterinary,2377
2013,Belgium,Health and welfare,16481
2013,Belgium,Health,0
2013,Belgium,Dental studies,645
2013,Belgium,Medicine therapy and rehabilitation,0
2013,Belgium,Welfare,0
2013,Belgium,Care of the elderly and of disabled adults,0
2013,Belgium,Child care and youth services,924
2013,Belgium,Social work and counselling,772
2013,Belgium,Services,1075
2013,Belgium,Domestic services,0
2013,Belgium,Hair and beauty services,0
2013,Belgium,Hotel restaurants and catering,96
2013,Belgium,Sports, 523
2013,Belgium,Travel tourism and leisure,128
2013,Belgium,Transport services,246
2013,Bulgaria,Total11594
2013,Bulgaria,Education,769
2013,Bulgaria,Arts and humanities,555
2013,Bulgaria,Social sciences journalism and information,913
2013,Bulgaria,Business administration and law,897
2013,Bulgaria,Natural sciences mathematics and statistics,127
2013,Bulgaria,Biology,36
2013,Bulgaria,Biochemistry,16
2013,Bulgaria,Environment,19
2013,Bulgaria,Physical sciences,33
2013,Bulgaria,Mathematics and statistics,23
2013,Bulgaria,Information and Communication Technologies,427
2013,Bulgaria,Engineering manufacturing and construction,2073
2013,Bulgaria,Engineering and engineering trades,1473
2013,Bulgaria,Manufacturing and processing,76
2013,Bulgaria,Architecture and construction,521
2013,Bulgaria,Agriculture forestry fisheries and veterinary,199
2013,Bulgaria,Health and welfare,4676
2013,Bulgaria,Health,4645
2013,Bulgaria,Dental studies,712
2013,Bulgaria,Medicine therapy and rehabilitation,0
2013,Bulgaria,Welfare,31
2013,Bulgaria,Care of the elderly and of disabled adults,0
2013,Bulgaria,Child care and youth services,0
2013,Bulgaria,Social work and counselling,31
2013,Bulgaria,Services,475
2013,Bulgaria,Domestic services,0
2013,Bulgaria,Hair and beauty services,0
2013,Bulgaria,Hotel restaurants and catering,4
2013,Bulgaria,Sports,43
2013,Bulgaria,Travel tourism and leisure,191
2013,Bulgaria,Transport services,89
2013,Czechia,Total,40139
2013,Czechia,Education,934
2013,Czechia,Arts and humanities,3835
2013,Czechia,Social sciences journalism and information,4772
2013,Czechia,Business administration and law,10394
2013,Czechia,Natural sciences mathematics and statistics,2911
2013,Czechia,Biology,0
2013,Czechia,Biochemistry,0
2013,Czechia,Environment,81
2013,Czechia,Physical sciences,1319
2013,Czechia,Mathematics and statistics,526
2013,Czechia,Information and Communication Technologies,3683
2013,Czechia,Engineering manufacturing and construction,4759
2013,Czechia,Engineering and engineering trades,2529
2013,Czechia,Manufacturing and processing,455
