EVENT,COUNTRY,FREQUENCY,TIME,ISCED11,AGE,SEX,VALUE
Cinema,Belgium,Not in the last 12 months,2015,All ISCED 2011 levels,From 16 to 24 years,Total,16.1
Cinema,Belgium,Not in the last 12 months,2015,All ISCED 2011 levels,From 16 to 24 years,Males,16.5
Cinema,Belgium,Not in the last 12 months,2015,All ISCED 2011 levels,From 16 to 24 years,Females,15.6
Cinema,Belgium,Not in the last 12 months,2015,All ISCED 2011 levels,From 16 to 29 years,Total,20.8
Cinema,Belgium,Not in the last 12 months,2015,All ISCED 2011 levels,From 16 to 29 years,Males,21.3
Cinema,Belgium,Not in the last 12 months,2015,All ISCED 2011 levels,From 16 to 29 years,Females,20.2
Cinema,Belgium,Not in the last 12 months,2015,All ISCED 2011 levels,From 25 to 34 years,Total,32.9
Cinema,Belgium,Not in the last 12 months,2015,All ISCED 2011 levels,From 25 to 34 years,Males,32.4
Cinema,Belgium,Not in the last 12 months,2015,All ISCED 2011 levels,From 25 to 34 years,Females,33.4
Cinema,Belgium,Not in the last 12 months,2015,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),From 16 to 24 years,Total,15.2
Cinema,Belgium,Not in the last 12 months,2015,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),From 16 to 24 years,Males,16.6
Cinema,Belgium,Not in the last 12 months,2015,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),From 16 to 24 years,Females,13.7
Cinema,Belgium,Not in the last 12 months,2015,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),From 16 to 29 years,Total,20.8
Cinema,Belgium,Not in the last 12 months,2015,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),From 16 to 29 years,Males,22.1
Cinema,Belgium,Not in the last 12 months,2015,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),From 16 to 29 years,Females,19.3
Cinema,Belgium,Not in the last 12 months,2015,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),From 25 to 34 years,Total,36.8
Cinema,Belgium,Not in the last 12 months,2015,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),From 25 to 34 years,Males,34.7
Cinema,Belgium,Not in the last 12 months,2015,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),From 25 to 34 years,Females,39.4
Cinema,Belgium,Not in the last 12 months,2015,Tertiary education (levels 5-8),From 16 to 24 years,Total,6.3
Cinema,Belgium,Not in the last 12 months,2015,Tertiary education (levels 5-8),From 16 to 24 years,Males,4.0
Cinema,Belgium,Not in the last 12 months,2015,Tertiary education (levels 5-8),From 16 to 24 years,Females,7.9
Cinema,Belgium,Not in the last 12 months,2015,Tertiary education (levels 5-8),From 16 to 29 years,Total,13.3
Cinema,Belgium,Not in the last 12 months,2015,Tertiary education (levels 5-8),From 16 to 29 years,Males,10.5
Cinema,Belgium,Not in the last 12 months,2015,Tertiary education (levels 5-8),From 16 to 29 years,Females,15.3
Cinema,Belgium,Not in the last 12 months,2015,Tertiary education (levels 5-8),From 25 to 34 years,Total,24.1
Cinema,Belgium,Not in the last 12 months,2015,Tertiary education (levels 5-8),From 25 to 34 years,Males,21.2
