"SEX","GEO","INDIC_SE","ISCO08","NACE_R2","TIME","SIZECLAS","UNIT","Value"
"Total","Belgium","Gross earnings","Total","Industry, construction and services (except activities of households as employers and extra-territorial organisations and bodies)","2018","10 employees or more","Euro",":"
"Total","Belgium","Gross earnings","Total","Industry, construction and services (except public administration, defense, compulsory social security)","2018","10 employees or more","Euro","3,360"
"Total","Belgium","Gross earnings","Total","Business economy","2018","10 employees or more","Euro","3,459"
"Total","Belgium","Gross earnings","Total","Industry and construction","2018","10 employees or more","Euro","3,650"
"Total","Belgium","Gross earnings","Total","Industry (except construction)","2018","10 employees or more","Euro","3,834"
"Total","Belgium","Gross earnings","Total","Mining and quarrying","2018","10 employees or more","Euro","3,357"
"Total","Belgium","Gross earnings","Total","Manufacturing","2018","10 employees or more","Euro","3,768"
"Total","Belgium","Gross earnings","Total","Electricity, gas, steam and air conditioning supply","2018","10 employees or more","Euro","5,223"
"Total","Belgium","Gross earnings","Total","Water supply; sewerage, waste management and remediation activities","2018","10 employees or more","Euro","4,079"
"Total","Belgium","Gross earnings","Total","Construction","2018","10 employees or more","Euro","3,228"
"Total","Belgium","Gross earnings","Total","Services (except activities of households as employers and extra-territorial organisations and bodies)","2018","10 employees or more","Euro",":"
"Total","Belgium","Gross earnings","Total","Services (except public administration, defense, compulsory social security, activities of households as employers and extra-territorial organisations and bodies)","2018","10 employees or more","Euro","3,288"
"Total","Belgium","Gross earnings","Total","Wholesale and retail trade; transport; accommodation and food service activities; information and communication","2018","10 employees or more","Euro","3,266"
"Total","Belgium","Gross earnings","Total","Wholesale and retail trade; repair of motor vehicles and motorcycles","2018","10 employees or more","Euro","3,244"
"Total","Belgium","Gross earnings","Total","Transportation and storage","2018","10 employees or more","Euro","3,143"
"Total","Belgium","Gross earnings","Total","Accommodation and food service activities","2018","10 employees or more","Euro","2,607"
"Total","Belgium","Gross earnings","Total","Information and communication","2018","10 employees or more","Euro","4,371"
"Total","Belgium","Gross earnings","Total","Financial and insurance activities; real estate activities; professional, scientific and technical activities; administrative and support service activities","2018","10 employees or more","Euro","3,565"
"Total","Belgium","Gross earnings","Total","Financial and insurance activities","2018","10 employees or more","Euro","4,496"
"Total","Belgium","Gross earnings","Total","Real estate activities","2018","10 employees or more","Euro","3,680"
"Total","Belgium","Gross earnings","Total","Professional, scientific and technical activities","2018","10 employees or more","Euro","4,539"
"Total","Belgium","Gross earnings","Total","Administrative and support service activities","2018","10 employees or more","Euro","2,803"
"Total","Belgium","Gross earnings","Total","Public administration and defence; compulsory social security; education; human health and social work activities; arts, entertainment and recreation; other service activities","2018","10 employees or more","Euro",":"
"Total","Belgium","Gross earnings","Total","Public administration and defence; compulsory social security","2018","10 employees or more","Euro",":"
"Total","Belgium","Gross earnings","Total","Education; human health and social work activities; arts, entertainment and recreation; other service activities","2018","10 employees or more","Euro","3,143"
"Total","Belgium","Gross earnings","Total","Education","2018","10 employees or more","Euro","3,675"
"Total","Belgium","Gross earnings","Total","Human health and social work activities","2018","10 employees or more","Euro","2,956"
"Total","Belgium","Gross earnings","Total","Arts, entertainment and recreation","2018","10 employees or more","Euro","2,823"
"Total","Belgium","Gross earnings","Total","Other service activities","2018","10 employees or more","Euro","3,043"
"Total","Bulgaria","Gross earnings","Total","Industry, construction and services (except activities of households as employers and extra-territorial organisations and bodies)","2018","10 employees or more","Euro","607"
"Total","Bulgaria","Gross earnings","Total","Industry, construction and services (except public administration, defense, compulsory social security)","2018","10 employees or more","Euro","608"
"Total","Bulgaria","Gross earnings","Total","Business economy","2018","10 employees or more","Euro","616"
"Total","Bulgaria","Gross earnings","Total","Industry and construction","2018","10 employees or more","Euro","549"
"Total","Bulgaria","Gross earnings","Total","Industry (except construction)","2018","10 employees or more","Euro","559"
"Total","Bulgaria","Gross earnings","Total","Mining and quarrying","2018","10 employees or more","Euro","851"
"Total","Bulgaria","Gross earnings","Total","Manufacturing","2018","10 employees or more","Euro","525"
"Total","Bulgaria","Gross earnings","Total","Electricity, gas, steam and air conditioning supply","2018","10 employees or more","Euro","1,022"
"Total","Bulgaria","Gross earnings","Total","Water supply; sewerage, waste management and remediation activities","2018","10 employees or more","Euro","464"
"Total","Bulgaria","Gross earnings","Total","Construction","2018","10 employees or more","Euro","502"
"Total","Bulgaria","Gross earnings","Total","Services (except activities of households as employers and extra-territorial organisations and bodies)","2018","10 employees or more","Euro","639"
"Total","Bulgaria","Gross earnings","Total","Services (except public administration, defense, compulsory social security, activities of households as employers and extra-territorial organisations and bodies)","2018","10 employees or more","Euro","643"
"Total","Bulgaria","Gross earnings","Total","Wholesale and retail trade; transport; accommodation and food service activities; information and communication","2018","10 employees or more","Euro","679"
"Total","Bulgaria","Gross earnings","Total","Wholesale and retail trade; repair of motor vehicles and motorcycles","2018","10 employees or more","Euro","586"
"Total","Bulgaria","Gross earnings","Total","Transportation and storage","2018","10 employees or more","Euro","594"
"Total","Bulgaria","Gross earnings","Total","Accommodation and food service activities","2018","10 employees or more","Euro","391"
"Total","Bulgaria","Gross earnings","Total","Information and communication","2018","10 employees or more","Euro","1,390"
"Total","Bulgaria","Gross earnings","Total","Financial and insurance activities; real estate activities; professional, scientific and technical activities; administrative and support service activities","2018","10 employees or more","Euro","660"
"Total","Bulgaria","Gross earnings","Total","Financial and insurance activities","2018","10 employees or more","Euro","876"
"Total","Bulgaria","Gross earnings","Total","Real estate activities","2018","10 employees or more","Euro","542"
"Total","Bulgaria","Gross earnings","Total","Professional, scientific and technical activities","2018","10 employees or more","Euro","926"
"Total","Bulgaria","Gross earnings","Total","Administrative and support service activities","2018","10 employees or more","Euro","460"
"Total","Bulgaria","Gross earnings","Total","Public administration and defence; compulsory social security; education; human health and social work activities; arts, entertainment and recreation; other service activities","2018","10 employees or more","Euro","579"
"Total","Bulgaria","Gross earnings","Total","Public administration and defence; compulsory social security","2018","10 employees or more","Euro","603"
"Total","Bulgaria","Gross earnings","Total","Education; human health and social work activities; arts, entertainment and recreation; other service activities","2018","10 employees or more","Euro","572"
"Total","Bulgaria","Gross earnings","Total","Education","2018","10 employees or more","Euro","577"
"Total","Bulgaria","Gross earnings","Total","Human health and social work activities","2018","10 employees or more","Euro","593"
"Total","Bulgaria","Gross earnings","Total","Arts, entertainment and recreation","2018","10 employees or more","Euro","515"
"Total","Bulgaria","Gross earnings","Total","Other service activities","2018","10 employees or more","Euro","461"
"Total","Czechia","Gross earnings","Total","Industry, construction and services (except activities of households as employers and extra-territorial organisations and bodies)","2018","10 employees or more","Euro","1,235"
"Total","Czechia","Gross earnings","Total","Industry, construction and services (except public administration, defense, compulsory social security)","2018","10 employees or more","Euro","1,225"
"Total","Czechia","Gross earnings","Total","Business economy","2018","10 employees or more","Euro","1,230"
"Total","Czechia","Gross earnings","Total","Industry and construction","2018","10 employees or more","Euro","1,219"
"Total","Czechia","Gross earnings","Total","Industry (except construction)","2018","10 employees or more","Euro","1,221"
"Total","Czechia","Gross earnings","Total","Mining and quarrying","2018","10 employees or more","Euro","1,331"
"Total","Czechia","Gross earnings","Total","Manufacturing","2018","10 employees or more","Euro","1,214"
"Total","Czechia","Gross earnings","Total","Electricity, gas, steam and air conditioning supply","2018","10 employees or more","Euro","1,613"
"Total","Czechia","Gross earnings","Total","Water supply; sewerage, waste management and remediation activities","2018","10 employees or more","Euro","1,068"
"Total","Czechia","Gross earnings","Total","Construction","2018","10 employees or more","Euro","1,198"
"Total","Czechia","Gross earnings","Total","Services (except activities of households as employers and extra-territorial organisations and bodies)","2018","10 employees or more","Euro","1,244"
"Total","Czechia","Gross earnings","Total","Services (except public administration, defense, compulsory social security, activities of households as employers and extra-territorial organisations and bodies)","2018","10 employees or more","Euro","1,230"
