TIME,SEX,COUNTRY,SIZECLAS,VALUE
2018,Total,Belgium,Industry construction and services (except activities of households as employers and extra-territorial organisations and bodies),0
2018,Total,Belgium,Industry construction and services (except public administration defense compulsory social security),3360
2018,Total,Belgium,Business economy,3459
2018,Total,Belgium,Industry and construction,3650
2018,Total,Belgium,Industry (except construction),3834
2018,Total,Belgium,Mining and quarrying,3357
2018,Total,Belgium,Manufacturing,3768
2018,Total,Belgium,Electricity gas steam and air conditioning supply,5223
2018,Total,Belgium,Water supply; sewerage waste management and remediation activities,4079
2018,Total,Belgium,Construction,3228
2018,Total,Belgium,Services (except activities of households as employers and extra-territorial organisations and bodies),0
2018,Total,Belgium,Services (except public administration defense compulsory social security activities of households as employers and extra-territorial organisations and bodies),3288
2018,Total,Belgium,Wholesale and retail trade; transport; accommodation and food service activities; information and communication,3266
2018,Total,Belgium,Wholesale and retail trade; repair of motor vehicles and motorcycles,3244
2018,Total,Belgium,Transportation and storage,3143
2018,Total,Belgium,Accommodation and food service activities,2607
2018,Total,Belgium,Information and communication,4371
2018,Total,Belgium,Financial and insurance activities; real estate activities; professional scientific and technical activities; administrative and support service activities,3565
2018,Total,Belgium,Financial and insurance activities,4496
2018,Total,Belgium,Real estate activities,3680
2018,Total,Belgium,Professional scientific and technical activities,4539
2018,Total,Belgium,Administrative and support service activities,2803
2018,Total,Belgium,Public administration and defence; compulsory social security; education; human health and social work activities; arts entertainment and recreation; other service activities,0
2018,Total,Belgium,Public administration and defence; compulsory social security,0
2018,Total,Belgium,Education; human health and social work activities; arts entertainment and recreation; other service activities,3143
2018,Total,Belgium,Education,3675
2018,Total,Belgium,Human health and social work activities,2956
2018,Total,Belgium,Arts entertainment and recreation,2823
2018,Total,Belgium,Other service activities,3043
2018,Total,Bulgaria,Industry construction and services (except activities of households as employers and extra-territorial organisations and bodies),607
2018,Total,Bulgaria,Industry construction and services (except public administration defense compulsory social security),608
2018,Total,Bulgaria,Business economy,616
2018,Total,Bulgaria,Industry and construction,549
2018,Total,Bulgaria,Industry (except construction),559
2018,Total,Bulgaria,Mining and quarrying,851
2018,Total,Bulgaria,Manufacturing,525
2018,Total,Bulgaria,Electricity gas steam and air conditioning supply,1022
2018,Total,Bulgaria,Water supply; sewerage waste management and remediation activities,464
2018,Total,Bulgaria,Construction,502
2018,Total,Bulgaria,Services (except activities of households as employers and extra-territorial organisations and bodies),639
2018,Total,Bulgaria,Services (except public administration defense compulsory social security activities of households as employers and extra-territorial organisations and bodies),643
2018,Total,Bulgaria,Wholesale and retail trade; transport; accommodation and food service activities; information and communication,679
2018,Total,Bulgaria,Wholesale and retail trade; repair of motor vehicles and motorcycles,586
2018,Total,Bulgaria,Transportation and storage,594
2018,Total,Bulgaria,Accommodation and food service activities,391
2018,Total,Bulgaria,Information and communication,1390
2018,Total,Bulgaria,Financial and insurance activities; real estate activities; professional scientific and technical activities; administrative and support service activities,660
2018,Total,Bulgaria,Financial and insurance activities,876
2018,Total,Bulgaria,Real estate activities,542
2018,Total,Bulgaria,Professional scientific and technical activities,926
2018,Total,Bulgaria,Administrative and support service activities,460
2018,Total,Bulgaria,Public administration and defence; compulsory social security; education; human health and social work activities; arts entertainment and recreation; other service activities,579
2018,Total,Bulgaria,Public administration and defence; compulsory social security,603
2018,Total,Bulgaria,Education; human health and social work activities; arts entertainment and recreation; other service activities,572
2018,Total,Bulgaria,Education,577
2018,Total,Bulgaria,Human health and social work activities,593
2018,Total,Bulgaria,Arts entertainment and recreation,515
2018,Total,Bulgaria,Other service activities,461
2018,Total,Czechia,Industry construction and services (except activities of households as employers and extra-territorial organisations and bodies),1235
2018,Total,Czechia,Industry construction and services (except public administration defense compulsory social security),1225
2018,Total,Czechia,Business economy,1230
2018,Total,Czechia,Industry and construction,1219
2018,Total,Czechia,Industry (except construction),1221
2018,Total,Czechia,Mining and quarrying,1331
2018,Total,Czechia,Manufacturing,1214
2018,Total,Czechia,Electricity gas steam and air conditioning supply,1613
2018,Total,Czechia,Water supply; sewerage waste management and remediation activities,1068
2018,Total,Czechia,Construction,1198
2018,Total,Czechia,Services (except activities of households as employers and extra-territorial organisations and bodies),1244
2018,Total,Czechia,Services (except public administration defense compulsory social security activities of households as employers and extra-territorial organisations and bodies),1230
2018,Total,Czechia,Wholesale and retail trade; transport; accommodation and food service activities; information and communication,1245
2018,Total,Czechia,Wholesale and retail trade; repair of motor vehicles and motorcycles,1177
2018,Total,Czechia,Transportation and storage,1154
2018,Total,Czechia,Accommodation and food service activities,799
2018,Total,Czechia,Information and communication,2057
2018,Total,Czechia,Financial and insurance activities; real estate activities; professional scientific and technical activities; administrative and support service activities,1231
2018,Total,Czechia,Financial and insurance activities,1843
2018,Total,Czechia,Real estate activities,1149
2018,Total,Czechia,Professional scientific and technical activities,1670
2018,Total,Czechia,Administrative and support service activities,824
2018,Total,Czechia,Public administration and defence; compulsory social security; education; human health and social work activities; arts entertainment and recreation; other service activities,1250
2018,Total,Czechia,Public administration and defence; compulsory social security,1345
2018,Total,Czechia,Education; human health and social work activities; arts entertainment and recreation; other service activities,1207
2018,Total,Czechia,Education,1169
2018,Total,Czechia,Human health and social work activities,1302
2018,Total,Czechia,Arts entertainment and recreation,1073
2018,Total,Czechia,Other service activities,977
2018,Total,Denmark,Industry construction and services (except activities of households as employers and extra-territorial organisations and bodies),4493
2018,Total,Denmark,Industry construction and services (except public administration defense compulsory social security),4473
2018,Total,Denmark,Business economy,4676
2018,Total,Denmark,Industry and construction,5112
2018,Total,Denmark,Industry (except construction),5266
2018,Total,Denmark,Mining and quarrying,7666
2018,Total,Denmark,Manufacturing,5182
