"TIME","GEO","INDIC","S_ADJ","UNIT","Value"
"2015M01","Belgium","Employment expectations indicator over the next 3 months","Seasonally adjusted data, not calendar adjusted data","Index","99.8"
"2015M01","Bulgaria","Employment expectations indicator over the next 3 months","Seasonally adjusted data, not calendar adjusted data","Index","106.9"
"2015M01","Czechia","Employment expectations indicator over the next 3 months","Seasonally adjusted data, not calendar adjusted data","Index","101.0"
"2015M01","Denmark","Employment expectations indicator over the next 3 months","Seasonally adjusted data, not calendar adjusted data","Index","104.4"
"2015M01","Germany (until 1990 former territory of the FRG)","Employment expectations indicator over the next 3 months","Seasonally adjusted data, not calendar adjusted data","Index","102.8"
"2015M01","Estonia","Employment expectations indicator over the next 3 months","Seasonally adjusted data, not calendar adjusted data","Index","101.2"
"2015M01","Ireland","Employment expectations indicator over the next 3 months","Seasonally adjusted data, not calendar adjusted data","Index","107.6"
"2015M01","Greece","Employment expectations indicator over the next 3 months","Seasonally adjusted data, not calendar adjusted data","Index","97.7"
"2015M01","Spain","Employment expectations indicator over the next 3 months","Seasonally adjusted data, not calendar adjusted data","Index","102.8"
"2015M01","France","Employment expectations indicator over the next 3 months","Seasonally adjusted data, not calendar adjusted data","Index","92.9"
"2015M01","Croatia","Employment expectations indicator over the next 3 months","Seasonally adjusted data, not calendar adjusted data","Index","98.6"
"2015M01","Italy","Employment expectations indicator over the next 3 months","Seasonally adjusted data, not calendar adjusted data","Index","93.6"
"2015M01","Cyprus","Employment expectations indicator over the next 3 months","Seasonally adjusted data, not calendar adjusted data","Index","99.7"
"2015M01","Latvia","Employment expectations indicator over the next 3 months","Seasonally adjusted data, not calendar adjusted data","Index","99.0"
"2015M01","Lithuania","Employment expectations indicator over the next 3 months","Seasonally adjusted data, not calendar adjusted data","Index","101.7"
"2015M01","Luxembourg","Employment expectations indicator over the next 3 months","Seasonally adjusted data, not calendar adjusted data","Index",":"
"2015M01","Hungary","Employment expectations indicator over the next 3 months","Seasonally adjusted data, not calendar adjusted data","Index","109.4"
"2015M01","Malta","Employment expectations indicator over the next 3 months","Seasonally adjusted data, not calendar adjusted data","Index","106.2"
"2015M01","Netherlands","Employment expectations indicator over the next 3 months","Seasonally adjusted data, not calendar adjusted data","Index","96.4"
"2015M01","Austria","Employment expectations indicator over the next 3 months","Seasonally adjusted data, not calendar adjusted data","Index","90.5"
"2015M01","Poland","Employment expectations indicator over the next 3 months","Seasonally adjusted data, not calendar adjusted data","Index","102.6"
"2015M01","Portugal","Employment expectations indicator over the next 3 months","Seasonally adjusted data, not calendar adjusted data","Index","106.8"
"2015M01","Romania","Employment expectations indicator over the next 3 months","Seasonally adjusted data, not calendar adjusted data","Index","104.2"
"2015M01","Slovenia","Employment expectations indicator over the next 3 months","Seasonally adjusted data, not calendar adjusted data","Index","97.5"
"2015M01","Slovakia","Employment expectations indicator over the next 3 months","Seasonally adjusted data, not calendar adjusted data","Index","105.7"
"2015M01","Finland","Employment expectations indicator over the next 3 months","Seasonally adjusted data, not calendar adjusted data","Index","90.2"
"2015M01","Sweden","Employment expectations indicator over the next 3 months","Seasonally adjusted data, not calendar adjusted data","Index","105.4"
"2015M01","United Kingdom","Employment expectations indicator over the next 3 months","Seasonally adjusted data, not calendar adjusted data","Index","115.7"
"2015M01","Montenegro","Employment expectations indicator over the next 3 months","Seasonally adjusted data, not calendar adjusted data","Index","100.8"
"2015M01","North Macedonia","Employment expectations indicator over the next 3 months","Seasonally adjusted data, not calendar adjusted data","Index","104.7"
"2015M01","Albania","Employment expectations indicator over the next 3 months","Seasonally adjusted data, not calendar adjusted data","Index",":"
"2015M01","Serbia","Employment expectations indicator over the next 3 months","Seasonally adjusted data, not calendar adjusted data","Index","95.7"
"2015M01","Turkey","Employment expectations indicator over the next 3 months","Seasonally adjusted data, not calendar adjusted data","Index","105.6"
"2015M02","Belgium","Employment expectations indicator over the next 3 months","Seasonally adjusted data, not calendar adjusted data","Index","95.7"
"2015M02","Bulgaria","Employment expectations indicator over the next 3 months","Seasonally adjusted data, not calendar adjusted data","Index","104.6"
"2015M02","Czechia","Employment expectations indicator over the next 3 months","Seasonally adjusted data, not calendar adjusted data","Index","99.8"
"2015M02","Denmark","Employment expectations indicator over the next 3 months","Seasonally adjusted data, not calendar adjusted data","Index","103.1"
"2015M02","Germany (until 1990 former territory of the FRG)","Employment expectations indicator over the next 3 months","Seasonally adjusted data, not calendar adjusted data","Index","102.9"
"2015M02","Estonia","Employment expectations indicator over the next 3 months","Seasonally adjusted data, not calendar adjusted data","Index","97.8"
"2015M02","Ireland","Employment expectations indicator over the next 3 months","Seasonally adjusted data, not calendar adjusted data","Index","106.2"
"2015M02","Greece","Employment expectations indicator over the next 3 months","Seasonally adjusted data, not calendar adjusted data","Index","98.4"
"2015M02","Spain","Employment expectations indicator over the next 3 months","Seasonally adjusted data, not calendar adjusted data","Index","105.3"
"2015M02","France","Employment expectations indicator over the next 3 months","Seasonally adjusted data, not calendar adjusted data","Index","94.9"
"2015M02","Croatia","Employment expectations indicator over the next 3 months","Seasonally adjusted data, not calendar adjusted data","Index","100.2"
"2015M02","Italy","Employment expectations indicator over the next 3 months","Seasonally adjusted data, not calendar adjusted data","Index","97.6"
"2015M02","Cyprus","Employment expectations indicator over the next 3 months","Seasonally adjusted data, not calendar adjusted data","Index","102.8"
"2015M02","Latvia","Employment expectations indicator over the next 3 months","Seasonally adjusted data, not calendar adjusted data","Index","98.6"
"2015M02","Lithuania","Employment expectations indicator over the next 3 months","Seasonally adjusted data, not calendar adjusted data","Index","101.9"
"2015M02","Luxembourg","Employment expectations indicator over the next 3 months","Seasonally adjusted data, not calendar adjusted data","Index",":"
"2015M02","Hungary","Employment expectations indicator over the next 3 months","Seasonally adjusted data, not calendar adjusted data","Index","106.5"
"2015M02","Malta","Employment expectations indicator over the next 3 months","Seasonally adjusted data, not calendar adjusted data","Index","107.8"
"2015M02","Netherlands","Employment expectations indicator over the next 3 months","Seasonally adjusted data, not calendar adjusted data","Index","96.8"
"2015M02","Austria","Employment expectations indicator over the next 3 months","Seasonally adjusted data, not calendar adjusted data","Index","98.4"
"2015M02","Poland","Employment expectations indicator over the next 3 months","Seasonally adjusted data, not calendar adjusted data","Index","101.7"
