"TIME","GEO","DEG_URB","CITIZEN","ISCED11","AGE","UNIT","SEX","Value","Flag and Footnotes"
"2012","Belgium","Total","EU27 countries (from 2020) except reporting country","All ISCED 2011 levels ","From 15 to 64 years","Percentage","Total","61.7",""
"2012","Belgium","Total","EU27 countries (from 2020) except reporting country","All ISCED 2011 levels ","From 15 to 64 years","Percentage","Males","66.5",""
"2012","Belgium","Total","EU27 countries (from 2020) except reporting country","All ISCED 2011 levels ","From 15 to 64 years","Percentage","Females","56.9",""
"2012","Belgium","Total","Reporting country","All ISCED 2011 levels ","From 15 to 64 years","Percentage","Total","63.0",""
"2012","Belgium","Total","Reporting country","All ISCED 2011 levels ","From 15 to 64 years","Percentage","Males","67.8",""
"2012","Belgium","Total","Reporting country","All ISCED 2011 levels ","From 15 to 64 years","Percentage","Females","58.1",""
"2012","Bulgaria","Total","EU27 countries (from 2020) except reporting country","All ISCED 2011 levels ","From 15 to 64 years","Percentage","Total",":","u"
"2012","Bulgaria","Total","EU27 countries (from 2020) except reporting country","All ISCED 2011 levels ","From 15 to 64 years","Percentage","Males",":","u"
"2012","Bulgaria","Total","EU27 countries (from 2020) except reporting country","All ISCED 2011 levels ","From 15 to 64 years","Percentage","Females",":","c"
"2012","Bulgaria","Total","Reporting country","All ISCED 2011 levels ","From 15 to 64 years","Percentage","Total","58.8",""
"2012","Bulgaria","Total","Reporting country","All ISCED 2011 levels ","From 15 to 64 years","Percentage","Males","61.3",""
"2012","Bulgaria","Total","Reporting country","All ISCED 2011 levels ","From 15 to 64 years","Percentage","Females","56.3",""
"2012","Czechia","Total","EU27 countries (from 2020) except reporting country","All ISCED 2011 levels ","From 15 to 64 years","Percentage","Total","73.5",""
"2012","Czechia","Total","EU27 countries (from 2020) except reporting country","All ISCED 2011 levels ","From 15 to 64 years","Percentage","Males","88.5",""
"2012","Czechia","Total","EU27 countries (from 2020) except reporting country","All ISCED 2011 levels ","From 15 to 64 years","Percentage","Females","53.2",""
"2012","Czechia","Total","Reporting country","All ISCED 2011 levels ","From 15 to 64 years","Percentage","Total","66.4",""
