"ACL00","GEO","FREQUENC","TIME","ISCED11","AGE","SEX","UNIT","Value"
"Cinema","Belgium","Not in the last 12 months","2015","All ISCED 2011 levels ","From 16 to 24 years","Total","Percentage","16.1"
"Cinema","Belgium","Not in the last 12 months","2015","All ISCED 2011 levels ","From 16 to 24 years","Males","Percentage","16.5"
"Cinema","Belgium","Not in the last 12 months","2015","All ISCED 2011 levels ","From 16 to 24 years","Females","Percentage","15.6"
"Cinema","Belgium","Not in the last 12 months","2015","All ISCED 2011 levels ","From 16 to 29 years","Total","Percentage","20.8"
"Cinema","Belgium","Not in the last 12 months","2015","All ISCED 2011 levels ","From 16 to 29 years","Males","Percentage","21.3"
"Cinema","Belgium","Not in the last 12 months","2015","All ISCED 2011 levels ","From 16 to 29 years","Females","Percentage","20.2"
"Cinema","Belgium","Not in the last 12 months","2015","All ISCED 2011 levels ","From 25 to 34 years","Total","Percentage","32.9"
"Cinema","Belgium","Not in the last 12 months","2015","All ISCED 2011 levels ","From 25 to 34 years","Males","Percentage","32.4"
"Cinema","Belgium","Not in the last 12 months","2015","All ISCED 2011 levels ","From 25 to 34 years","Females","Percentage","33.4"
"Cinema","Belgium","Not in the last 12 months","2015","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","From 16 to 24 years","Total","Percentage","15.2"
"Cinema","Belgium","Not in the last 12 months","2015","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","From 16 to 24 years","Males","Percentage","16.6"
"Cinema","Belgium","Not in the last 12 months","2015","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","From 16 to 24 years","Females","Percentage","13.7"
"Cinema","Belgium","Not in the last 12 months","2015","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","From 16 to 29 years","Total","Percentage","20.8"
"Cinema","Belgium","Not in the last 12 months","2015","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","From 16 to 29 years","Males","Percentage","22.1"
"Cinema","Belgium","Not in the last 12 months","2015","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","From 16 to 29 years","Females","Percentage","19.3"
"Cinema","Belgium","Not in the last 12 months","2015","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","From 25 to 34 years","Total","Percentage","36.8"
"Cinema","Belgium","Not in the last 12 months","2015","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","From 25 to 34 years","Males","Percentage","34.7"
"Cinema","Belgium","Not in the last 12 months","2015","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","From 25 to 34 years","Females","Percentage","39.4"
"Cinema","Belgium","Not in the last 12 months","2015","Tertiary education (levels 5-8)","From 16 to 24 years","Total","Percentage","6.3"
"Cinema","Belgium","Not in the last 12 months","2015","Tertiary education (levels 5-8)","From 16 to 24 years","Males","Percentage","4.0"
"Cinema","Belgium","Not in the last 12 months","2015","Tertiary education (levels 5-8)","From 16 to 24 years","Females","Percentage","7.9"
"Cinema","Belgium","Not in the last 12 months","2015","Tertiary education (levels 5-8)","From 16 to 29 years","Total","Percentage","13.3"
"Cinema","Belgium","Not in the last 12 months","2015","Tertiary education (levels 5-8)","From 16 to 29 years","Males","Percentage","10.5"
"Cinema","Belgium","Not in the last 12 months","2015","Tertiary education (levels 5-8)","From 16 to 29 years","Females","Percentage","15.3"
"Cinema","Belgium","Not in the last 12 months","2015","Tertiary education (levels 5-8)","From 25 to 34 years","Total","Percentage","24.1"
"Cinema","Belgium","Not in the last 12 months","2015","Tertiary education (levels 5-8)","From 25 to 34 years","Males","Percentage","21.2"
"Cinema","Belgium","Not in the last 12 months","2015","Tertiary education (levels 5-8)","From 25 to 34 years","Females","Percentage","26.2"
"Cinema","Belgium","From 1 to 3 times","2015","All ISCED 2011 levels ","From 16 to 24 years","Total","Percentage","28.4"
"Cinema","Belgium","From 1 to 3 times","2015","All ISCED 2011 levels ","From 16 to 24 years","Males","Percentage","30.1"
"Cinema","Belgium","From 1 to 3 times","2015","All ISCED 2011 levels ","From 16 to 24 years","Females","Percentage","26.8"
"Cinema","Belgium","From 1 to 3 times","2015","All ISCED 2011 levels ","From 16 to 29 years","Total","Percentage","30.0"
"Cinema","Belgium","From 1 to 3 times","2015","All ISCED 2011 levels ","From 16 to 29 years","Males","Percentage","29.6"
"Cinema","Belgium","From 1 to 3 times","2015","All ISCED 2011 levels ","From 16 to 29 years","Females","Percentage","30.4"
"Cinema","Belgium","From 1 to 3 times","2015","All ISCED 2011 levels ","From 25 to 34 years","Total","Percentage","37.5"
"Cinema","Belgium","From 1 to 3 times","2015","All ISCED 2011 levels ","From 25 to 34 years","Males","Percentage","34.9"
"Cinema","Belgium","From 1 to 3 times","2015","All ISCED 2011 levels ","From 25 to 34 years","Females","Percentage","40.0"
"Cinema","Belgium","From 1 to 3 times","2015","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","From 16 to 24 years","Total","Percentage","26.5"
"Cinema","Belgium","From 1 to 3 times","2015","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","From 16 to 24 years","Males","Percentage","29.7"
"Cinema","Belgium","From 1 to 3 times","2015","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","From 16 to 24 years","Females","Percentage","23.0"
