"TIME","GEO","UNIT","SECTOR","COFOG99","NA_ITEM","Value"
"2010","Belgium","Percentage of gross domestic product (GDP)","General government","Total","Total general government expenditure","53.9"
"2010","Belgium","Percentage of gross domestic product (GDP)","General government","General public services","Total general government expenditure","8.6"
"2010","Belgium","Percentage of gross domestic product (GDP)","General government","Defence","Total general government expenditure","1.0"
"2010","Belgium","Percentage of gross domestic product (GDP)","General government","Public order and safety","Total general government expenditure","1.9"
"2010","Belgium","Percentage of gross domestic product (GDP)","General government","Economic affairs","Total general government expenditure","6.8"
"2010","Belgium","Percentage of gross domestic product (GDP)","General government","Fuel and energy","Total general government expenditure","0.2"
"2010","Belgium","Percentage of gross domestic product (GDP)","General government","Transport","Total general government expenditure","2.7"
"2010","Belgium","Percentage of gross domestic product (GDP)","General government","Environmental protection","Total general government expenditure","1.2"
"2010","Belgium","Percentage of gross domestic product (GDP)","General government","Housing and community amenities","Total general government expenditure","0.4"
"2010","Belgium","Percentage of gross domestic product (GDP)","General government","Health","Total general government expenditure","7.8"
"2010","Belgium","Percentage of gross domestic product (GDP)","General government","Medical products, appliances and equipment","Total general government expenditure","0.9"
"2010","Belgium","Percentage of gross domestic product (GDP)","General government","Outpatient services","Total general government expenditure","2.7"
"2010","Belgium","Percentage of gross domestic product (GDP)","General government","Hospital services","Total general government expenditure","3.8"
"2010","Belgium","Percentage of gross domestic product (GDP)","General government","Recreation, culture and religion","Total general government expenditure","1.3"
"2010","Belgium","Percentage of gross domestic product (GDP)","General government","Recreational and sporting services","Total general government expenditure","0.4"
"2010","Belgium","Percentage of gross domestic product (GDP)","General government","Cultural services","Total general government expenditure","0.5"
"2010","Belgium","Percentage of gross domestic product (GDP)","General government","Education","Total general government expenditure","6.0"
"2010","Belgium","Percentage of gross domestic product (GDP)","General government","Tertiary education","Total general government expenditure","0.9"
"2010","Belgium","Percentage of gross domestic product (GDP)","General government","Social protection","Total general government expenditure","18.9"
"2010","Belgium","Percentage of gross domestic product (GDP)","General government","Sickness and disability","Total general government expenditure","2.7"
"2010","Belgium","Percentage of gross domestic product (GDP)","General government","Old age","Total general government expenditure","8.0"
"2010","Belgium","Percentage of gross domestic product (GDP)","General government","Family and children","Total general government expenditure","2.4"
"2010","Belgium","Percentage of gross domestic product (GDP)","General government","Unemployment","Total general government expenditure","2.5"
"2010","Belgium","Percentage of gross domestic product (GDP)","General government","Housing","Total general government expenditure","0.2"
"2010","Belgium","Percentage of gross domestic product (GDP)","General government","Social exclusion n.e.c.","Total general government expenditure","1.0"
"2010","Bulgaria","Percentage of gross domestic product (GDP)","General government","Total","Total general government expenditure","36.1"
"2010","Bulgaria","Percentage of gross domestic product (GDP)","General government","General public services","Total general government expenditure","3.8"
"2010","Bulgaria","Percentage of gross domestic product (GDP)","General government","Defence","Total general government expenditure","1.7"
"2010","Bulgaria","Percentage of gross domestic product (GDP)","General government","Public order and safety","Total general government expenditure","2.5"
"2010","Bulgaria","Percentage of gross domestic product (GDP)","General government","Economic affairs","Total general government expenditure","5.0"
"2010","Bulgaria","Percentage of gross domestic product (GDP)","General government","Fuel and energy","Total general government expenditure","0.2"
"2010","Bulgaria","Percentage of gross domestic product (GDP)","General government","Transport","Total general government expenditure","3.4"
"2010","Bulgaria","Percentage of gross domestic product (GDP)","General government","Environmental protection","Total general government expenditure","0.7"
"2010","Bulgaria","Percentage of gross domestic product (GDP)","General government","Housing and community amenities","Total general government expenditure","1.0"
"2010","Bulgaria","Percentage of gross domestic product (GDP)","General government","Health","Total general government expenditure","4.4"
"2010","Bulgaria","Percentage of gross domestic product (GDP)","General government","Medical products, appliances and equipment","Total general government expenditure","0.5"
"2010","Bulgaria","Percentage of gross domestic product (GDP)","General government","Outpatient services","Total general government expenditure","1.1"
"2010","Bulgaria","Percentage of gross domestic product (GDP)","General government","Hospital services","Total general government expenditure","2.7"
"2010","Bulgaria","Percentage of gross domestic product (GDP)","General government","Recreation, culture and religion","Total general government expenditure","0.7"
"2010","Bulgaria","Percentage of gross domestic product (GDP)","General government","Recreational and sporting services","Total general government expenditure","0.1"
"2010","Bulgaria","Percentage of gross domestic product (GDP)","General government","Cultural services","Total general government expenditure","0.4"
"2010","Bulgaria","Percentage of gross domestic product (GDP)","General government","Education","Total general government expenditure","3.6"
"2010","Bulgaria","Percentage of gross domestic product (GDP)","General government","Tertiary education","Total general government expenditure","0.8"
"2010","Bulgaria","Percentage of gross domestic product (GDP)","General government","Social protection","Total general government expenditure","12.9"
"2010","Bulgaria","Percentage of gross domestic product (GDP)","General government","Sickness and disability","Total general government expenditure","0.2"
"2010","Bulgaria","Percentage of gross domestic product (GDP)","General government","Old age","Total general government expenditure","9.7"
"2010","Bulgaria","Percentage of gross domestic product (GDP)","General government","Family and children","Total general government expenditure","2.0"
"2010","Bulgaria","Percentage of gross domestic product (GDP)","General government","Unemployment","Total general government expenditure","0.5"
"2010","Bulgaria","Percentage of gross domestic product (GDP)","General government","Housing","Total general government expenditure","0.2"
"2010","Bulgaria","Percentage of gross domestic product (GDP)","General government","Social exclusion n.e.c.","Total general government expenditure","0.0"
"2010","Czechia","Percentage of gross domestic product (GDP)","General government","Total","Total general government expenditure","43.6"
"2010","Czechia","Percentage of gross domestic product (GDP)","General government","General public services","Total general government expenditure","4.8"
"2010","Czechia","Percentage of gross domestic product (GDP)","General government","Defence","Total general government expenditure","1.0"
"2010","Czechia","Percentage of gross domestic product (GDP)","General government","Public order and safety","Total general government expenditure","1.9"
"2010","Czechia","Percentage of gross domestic product (GDP)","General government","Economic affairs","Total general government expenditure","6.7"
"2010","Czechia","Percentage of gross domestic product (GDP)","General government","Fuel and energy","Total general government expenditure","0.3"
"2010","Czechia","Percentage of gross domestic product (GDP)","General government","Transport","Total general government expenditure","4.5"
"2010","Czechia","Percentage of gross domestic product (GDP)","General government","Environmental protection","Total general government expenditure","1.0"
"2010","Czechia","Percentage of gross domestic product (GDP)","General government","Housing and community amenities","Total general government expenditure","0.9"
"2010","Czechia","Percentage of gross domestic product (GDP)","General government","Health","Total general government expenditure","7.7"
"2010","Czechia","Percentage of gross domestic product (GDP)","General government","Medical products, appliances and equipment","Total general government expenditure","1.0"
"2010","Czechia","Percentage of gross domestic product (GDP)","General government","Outpatient services","Total general government expenditure","1.6"
"2010","Czechia","Percentage of gross domestic product (GDP)","General government","Hospital services","Total general government expenditure","3.4"
"2010","Czechia","Percentage of gross domestic product (GDP)","General government","Recreation, culture and religion","Total general government expenditure","1.5"
"2010","Czechia","Percentage of gross domestic product (GDP)","General government","Recreational and sporting services","Total general government expenditure","0.4"
"2010","Czechia","Percentage of gross domestic product (GDP)","General government","Cultural services","Total general government expenditure","0.7"
"2010","Czechia","Percentage of gross domestic product (GDP)","General government","Education","Total general government expenditure","4.6"
"2010","Czechia","Percentage of gross domestic product (GDP)","General government","Tertiary education","Total general government expenditure","0.8"
"2010","Czechia","Percentage of gross domestic product (GDP)","General government","Social protection","Total general government expenditure","13.5"
"2010","Czechia","Percentage of gross domestic product (GDP)","General government","Sickness and disability","Total general government expenditure","2.4"
"2010","Czechia","Percentage of gross domestic product (GDP)","General government","Old age","Total general government expenditure","7.5"
"2010","Czechia","Percentage of gross domestic product (GDP)","General government","Family and children","Total general government expenditure","1.9"
"2010","Czechia","Percentage of gross domestic product (GDP)","General government","Unemployment","Total general government expenditure","0.4"
"2010","Czechia","Percentage of gross domestic product (GDP)","General government","Housing","Total general government expenditure","0.1"
"2010","Czechia","Percentage of gross domestic product (GDP)","General government","Social exclusion n.e.c.","Total general government expenditure","0.4"
"2010","Denmark","Percentage of gross domestic product (GDP)","General government","Total","Total general government expenditure","56.7"
"2010","Denmark","Percentage of gross domestic product (GDP)","General government","General public services","Total general government expenditure","8.0"
"2010","Denmark","Percentage of gross domestic product (GDP)","General government","Defence","Total general government expenditure","1.3"
"2010","Denmark","Percentage of gross domestic product (GDP)","General government","Public order and safety","Total general government expenditure","1.0"
"2010","Denmark","Percentage of gross domestic product (GDP)","General government","Economic affairs","Total general government expenditure","3.4"
"2010","Denmark","Percentage of gross domestic product (GDP)","General government","Fuel and energy","Total general government expenditure","0.2"
"2010","Denmark","Percentage of gross domestic product (GDP)","General government","Transport","Total general government expenditure","2.1"
"2010","Denmark","Percentage of gross domestic product (GDP)","General government","Environmental protection","Total general government expenditure","0.4"
"2010","Denmark","Percentage of gross domestic product (GDP)","General government","Housing and community amenities","Total general government expenditure","0.3"
"2010","Denmark","Percentage of gross domestic product (GDP)","General government","Health","Total general government expenditure","8.6"
"2010","Denmark","Percentage of gross domestic product (GDP)","General government","Medical products, appliances and equipment","Total general government expenditure","0.8"
"2010","Denmark","Percentage of gross domestic product (GDP)","General government","Outpatient services","Total general government expenditure","1.2"
"2010","Denmark","Percentage of gross domestic product (GDP)","General government","Hospital services","Total general government expenditure","6.0"
"2010","Denmark","Percentage of gross domestic product (GDP)","General government","Recreation, culture and religion","Total general government expenditure","1.8"
"2010","Denmark","Percentage of gross domestic product (GDP)","General government","Recreational and sporting services","Total general government expenditure","0.4"
"2010","Denmark","Percentage of gross domestic product (GDP)","General government","Cultural services","Total general government expenditure","0.7"
"2010","Denmark","Percentage of gross domestic product (GDP)","General government","Education","Total general government expenditure","7.1"
"2010","Denmark","Percentage of gross domestic product (GDP)","General government","Tertiary education","Total general government expenditure","1.4"
"2010","Denmark","Percentage of gross domestic product (GDP)","General government","Social protection","Total general government expenditure","24.8"
"2010","Denmark","Percentage of gross domestic product (GDP)","General government","Sickness and disability","Total general government expenditure","5.4"
"2010","Denmark","Percentage of gross domestic product (GDP)","General government","Old age","Total general government expenditure","7.6"
"2010","Denmark","Percentage of gross domestic product (GDP)","General government","Family and children","Total general government expenditure","5.3"
"2010","Denmark","Percentage of gross domestic product (GDP)","General government","Unemployment","Total general government expenditure","3.5"
"2010","Denmark","Percentage of gross domestic product (GDP)","General government","Housing","Total general government expenditure","0.7"
"2010","Denmark","Percentage of gross domestic product (GDP)","General government","Social exclusion n.e.c.","Total general government expenditure","1.7"
