"TIME","GEO","AGE","SEX","INDIC_IL","UNIT","Value"
"2008","Belgium","Total","Total","Median equivalised net income","Euro","17,985"
"2008","Belgium","Less than 6 years","Total","Median equivalised net income","Euro","18,439"
"2008","Belgium","From 6 to 10 years","Total","Median equivalised net income","Euro",":"
"2008","Belgium","From 6 to 11 years","Total","Median equivalised net income","Euro","18,346"
"2008","Belgium","From 11 to 15 years","Total","Median equivalised net income","Euro",":"
"2008","Belgium","From 12 to 17 years","Total","Median equivalised net income","Euro","16,680"
"2008","Belgium","Less than 16 years","Total","Median equivalised net income","Euro","18,039"
"2008","Belgium","From 16 to 24 years","Total","Median equivalised net income","Euro","17,104"
"2008","Belgium","From 16 to 64 years","Total","Median equivalised net income","Euro","19,187"
"2008","Belgium","16 years or over","Total","Median equivalised net income","Euro","17,984"
"2008","Belgium","Less than 18 years","Total","Median equivalised net income","Euro","17,804"
"2008","Belgium","From 18 to 24 years","Total","Median equivalised net income","Euro","17,356"
"2008","Belgium","From 18 to 64 years","Total","Median equivalised net income","Euro","19,306"
"2008","Belgium","18 years or over","Total","Median equivalised net income","Euro","18,049"
"2008","Belgium","From 25 to 49 years","Total","Median equivalised net income","Euro","20,321"
"2008","Belgium","From 25 to 54 years","Total","Median equivalised net income","Euro","20,230"
"2008","Belgium","From 50 to 64 years","Total","Median equivalised net income","Euro","18,159"
"2008","Belgium","From 55 to 64 years","Total","Median equivalised net income","Euro","17,642"
"2008","Belgium","Less than 60 years","Total","Median equivalised net income","Euro","19,106"
"2008","Belgium","60 years or over","Total","Median equivalised net income","Euro","14,415"
"2008","Belgium","Less than 65 years","Total","Median equivalised net income","Euro","18,912"
"2008","Belgium","From 65 to 74 years","Total","Median equivalised net income","Euro",":"
"2008","Belgium","65 years or over","Total","Median equivalised net income","Euro","14,027"
"2008","Belgium","Less than 75 years","Total","Median equivalised net income","Euro","18,439"
"2008","Belgium","75 years or over","Total","Median equivalised net income","Euro","13,479"
"2008","Bulgaria","Total","Total","Median equivalised net income","Euro","2,171"
"2008","Bulgaria","Less than 6 years","Total","Median equivalised net income","Euro","2,248"
"2008","Bulgaria","From 6 to 10 years","Total","Median equivalised net income","Euro",":"
"2008","Bulgaria","From 6 to 11 years","Total","Median equivalised net income","Euro","2,180"
"2008","Bulgaria","From 11 to 15 years","Total","Median equivalised net income","Euro",":"
"2008","Bulgaria","From 12 to 17 years","Total","Median equivalised net income","Euro","1,931"
"2008","Bulgaria","Less than 16 years","Total","Median equivalised net income","Euro","2,110"
"2008","Bulgaria","From 16 to 24 years","Total","Median equivalised net income","Euro","2,199"
"2008","Bulgaria","From 16 to 64 years","Total","Median equivalised net income","Euro","2,417"
"2008","Bulgaria","16 years or over","Total","Median equivalised net income","Euro","2,182"
"2008","Bulgaria","Less than 18 years","Total","Median equivalised net income","Euro","2,082"
"2008","Bulgaria","From 18 to 24 years","Total","Median equivalised net income","Euro","2,302"
"2008","Bulgaria","From 18 to 64 years","Total","Median equivalised net income","Euro","2,438"
"2008","Bulgaria","18 years or over","Total","Median equivalised net income","Euro","2,192"
"2008","Bulgaria","From 25 to 49 years","Total","Median equivalised net income","Euro","2,489"
"2008","Bulgaria","From 25 to 54 years","Total","Median equivalised net income","Euro","2,535"
"2008","Bulgaria","From 50 to 64 years","Total","Median equivalised net income","Euro","2,380"
"2008","Bulgaria","From 55 to 64 years","Total","Median equivalised net income","Euro","2,194"
"2008","Bulgaria","Less than 60 years","Total","Median equivalised net income","Euro","2,384"
"2008","Bulgaria","60 years or over","Total","Median equivalised net income","Euro","1,659"
"2008","Bulgaria","Less than 65 years","Total","Median equivalised net income","Euro","2,355"
"2008","Bulgaria","From 65 to 74 years","Total","Median equivalised net income","Euro",":"
