"TIME","GEO","UNIT","ISCED11","ISCEDF13","SEX","Value"
"2013","Belgium","Number","Tertiary education (levels 5-8)","Total","Total","48,748"
"2013","Belgium","Number","Tertiary education (levels 5-8)","Education","Total","1,717"
"2013","Belgium","Number","Tertiary education (levels 5-8)","Arts and humanities","Total","6,710"
"2013","Belgium","Number","Tertiary education (levels 5-8)","Social sciences, journalism and information","Total","5,140"
"2013","Belgium","Number","Tertiary education (levels 5-8)","Business, administration and law","Total","6,136"
"2013","Belgium","Number","Tertiary education (levels 5-8)","Natural sciences, mathematics and statistics","Total","2,662"
"2013","Belgium","Number","Tertiary education (levels 5-8)","Biology","Total",":"
"2013","Belgium","Number","Tertiary education (levels 5-8)","Biochemistry","Total",":"
"2013","Belgium","Number","Tertiary education (levels 5-8)","Environment","Total","151"
"2013","Belgium","Number","Tertiary education (levels 5-8)","Physical sciences","Total","867"
"2013","Belgium","Number","Tertiary education (levels 5-8)","Mathematics and statistics","Total","411"
"2013","Belgium","Number","Tertiary education (levels 5-8)","Information and Communication Technologies","Total","729"
"2013","Belgium","Number","Tertiary education (levels 5-8)","Engineering, manufacturing and construction","Total","5,223"
"2013","Belgium","Number","Tertiary education (levels 5-8)","Engineering and engineering trades","Total","1,506"
"2013","Belgium","Number","Tertiary education (levels 5-8)","Manufacturing and processing","Total","92"
"2013","Belgium","Number","Tertiary education (levels 5-8)","Architecture and construction","Total","2,133"
"2013","Belgium","Number","Tertiary education (levels 5-8)","Agriculture, forestry, fisheries and veterinary","Total","2,377"
"2013","Belgium","Number","Tertiary education (levels 5-8)","Health and welfare","Total","16,481"
"2013","Belgium","Number","Tertiary education (levels 5-8)","Health","Total",":"
"2013","Belgium","Number","Tertiary education (levels 5-8)","Dental studies","Total","645"
"2013","Belgium","Number","Tertiary education (levels 5-8)","Medicine, therapy and rehabilitation","Total",":"
"2013","Belgium","Number","Tertiary education (levels 5-8)","Welfare","Total",":"
"2013","Belgium","Number","Tertiary education (levels 5-8)","Care of the elderly and of disabled adults","Total",":"
"2013","Belgium","Number","Tertiary education (levels 5-8)","Child care and youth services","Total","924"
"2013","Belgium","Number","Tertiary education (levels 5-8)","Social work and counselling","Total","772"
"2013","Belgium","Number","Tertiary education (levels 5-8)","Services","Total","1,075"
