"TIME","GEO","C_BIRTH","AGE","SEX","UNIT","Value"
"2012","Belgium","Total","From 15 to 29 years","Total","Number","2 038 704"
"2012","Belgium","Total","From 15 to 19 years","Total","Number","642 314"
"2012","Belgium","Total","From 20 to 24 years","Total","Number","695 080"
"2012","Belgium","Total","From 25 to 29 years","Total","Number","701 310"
"2012","Bulgaria","Total","From 15 to 29 years","Total","Number","1 324 481"
"2012","Bulgaria","Total","From 15 to 19 years","Total","Number","358 043"
"2012","Bulgaria","Total","From 20 to 24 years","Total","Number","476 084"
"2012","Bulgaria","Total","From 25 to 29 years","Total","Number","490 354"
"2012","Czechia","Total","From 15 to 29 years","Total","Number","1 933 767"
"2012","Czechia","Total","From 15 to 19 years","Total","Number","541 105"
"2012","Czechia","Total","From 20 to 24 years","Total","Number","671 462"
"2012","Czechia","Total","From 25 to 29 years","Total","Number","721 200"
"2012","Denmark","Total","From 15 to 29 years","Total","Number","1 022 790"
"2012","Denmark","Total","From 15 to 19 years","Total","Number","359 125"
"2012","Denmark","Total","From 20 to 24 years","Total","Number","347 475"
"2012","Denmark","Total","From 25 to 29 years","Total","Number","316 190"
"2012","Germany (until 1990 former territory of the FRG)","Total","From 15 to 29 years","Total","Number","13 705 430"
"2012","Germany (until 1990 former territory of the FRG)","Total","From 15 to 19 years","Total","Number","4 027 946"
"2012","Germany (until 1990 former territory of the FRG)","Total","From 20 to 24 years","Total","Number","4 822 077"
"2012","Germany (until 1990 former territory of the FRG)","Total","From 25 to 29 years","Total","Number","4 855 407"
"2012","Estonia","Total","From 15 to 29 years","Total","Number","267 086"
"2012","Estonia","Total","From 15 to 19 years","Total","Number","67 687"
"2012","Estonia","Total","From 20 to 24 years","Total","Number","99 383"
"2012","Estonia","Total","From 25 to 29 years","Total","Number","100 016"
"2012","Ireland","Total","From 15 to 29 years","Total","Number","916 304"
"2012","Ireland","Total","From 15 to 19 years","Total","Number","281 092"
"2012","Ireland","Total","From 20 to 24 years","Total","Number","288 296"
"2012","Ireland","Total","From 25 to 29 years","Total","Number","346 916"
"2012","Greece","Total","From 15 to 29 years","Total","Number","1 906 334"
"2012","Greece","Total","From 15 to 19 years","Total","Number","557 552"
"2012","Greece","Total","From 20 to 24 years","Total","Number","628 931"
"2012","Greece","Total","From 25 to 29 years","Total","Number","719 851"
"2012","Spain","Total","From 15 to 29 years","Total","Number","7 769 139"
"2012","Spain","Total","From 15 to 19 years","Total","Number","2 199 410"
"2012","Spain","Total","From 20 to 24 years","Total","Number","2 503 813"
"2012","Spain","Total","From 25 to 29 years","Total","Number","3 065 916"
"2012","France","Total","From 15 to 29 years","Total","Number","11 876 631"
"2012","France","Total","From 15 to 19 years","Total","Number","3 925 548"
"2012","France","Total","From 20 to 24 years","Total","Number","3 987 272"
"2012","France","Total","From 25 to 29 years","Total","Number","3 963 811"
"2012","Croatia","Total","From 15 to 29 years","Total","Number",":"
"2012","Croatia","Total","From 15 to 19 years","Total","Number",":"
"2012","Croatia","Total","From 20 to 24 years","Total","Number",":"
"2012","Croatia","Total","From 25 to 29 years","Total","Number",":"
"2012","Italy","Total","From 15 to 29 years","Total","Number","9 218 888"
"2012","Italy","Total","From 15 to 19 years","Total","Number","2 850 222"
"2012","Italy","Total","From 20 to 24 years","Total","Number","3 068 829"
